type,distribution,algorithm,n,batch,reps,median_ns_total,min_ns_total,ns_per_elem
i64,random_uniform,block,4096,16,64,43231.0,42880.0,0.6597
i64,random_uniform,boost_block,4096,16,64,29520.0,29111.0,0.4504
i64,random_uniform,fulcrum,4096,16,64,29241.0,29141.0,0.4462
i64,random_uniform,block_simd_amd,4096,16,64,24761.0,23991.0,0.3778
i64,random_uniform,sized,4096,16,64,30371.0,29220.0,0.4634
i64,random_uniform,std_partition,65536,1,64,135243.0,134433.0,2.0636
i64,random_uniform,lomuto,65536,1,64,124113.0,123082.0,1.8938
i64,random_uniform,lomuto_branchless,65536,1,64,40821.0,40561.0,0.6229
i64,random_uniform,hoare,65536,1,64,156273.0,154464.0,2.3845
i64,random_uniform,hoare_guarded,65536,1,64,140123.0,138923.0,2.1381
i64,random_uniform,block,65536,1,64,42421.0,42231.0,0.6473
i64,random_uniform,boost_block,65536,1,64,30821.0,30491.0,0.4703
i64,random_uniform,fulcrum,65536,1,64,29121.0,28901.0,0.4444
i64,random_uniform,block_simd_amd,65536,1,64,25321.0,25050.0,0.3864
i64,random_uniform,sized,65536,1,64,30601.0,30331.0,0.4669
i64,random_uniform,std_partition,262144,1,16,539003.0,531853.0,2.0561
i64,random_uniform,lomuto,262144,1,16,398569.0,385179.0,1.5204
i64,random_uniform,lomuto_branchless,262144,1,16,161864.0,160984.0,0.6175
i64,random_uniform,hoare,262144,1,16,460100.0,453330.0,1.7551
i64,random_uniform,hoare_guarded,262144,1,16,543682.0,538922.0,2.0740
i64,random_uniform,block,262144,1,16,161924.0,161043.0,0.6177
i64,random_uniform,boost_block,262144,1,16,117822.0,117073.0,0.4495
i64,random_uniform,fulcrum,262144,1,16,115743.0,115422.0,0.4415
i64,random_uniform,block_simd_amd,262144,1,16,86412.0,85682.0,0.3296
i64,random_uniform,sized,262144,1,16,117343.0,116512.0,0.4476
i64,random_uniform,std_partition,1048576,1,5,2946577.0,2892516.0,2.8101
i64,random_uniform,lomuto,1048576,1,5,2635860.0,2625120.0,2.5138
i64,random_uniform,lomuto_branchless,1048576,1,5,656005.0,653515.0,0.6256
i64,random_uniform,hoare,1048576,1,5,3059970.0,3008799.0,2.9182
i64,random_uniform,hoare_guarded,1048576,1,5,2996079.0,2977969.0,2.8573
i64,random_uniform,block,1048576,1,5,693006.0,692316.0,0.6609
i64,random_uniform,boost_block,1048576,1,5,505542.0,501372.0,0.4821
i64,random_uniform,fulcrum,1048576,1,5,471981.0,468870.0,0.4501
i64,random_uniform,block_simd_amd,1048576,1,5,401599.0,399279.0,0.3830
i64,random_uniform,sized,1048576,1,5,518701.0,511502.0,0.4947
i64,random_uniform,std_partition,4194304,1,5,6617662.0,6575820.0,1.5778
i64,random_uniform,lomuto,4194304,1,5,5472145.0,5465125.0,1.3047
i64,random_uniform,lomuto_branchless,4194304,1,5,2901556.0,2884097.0,0.6918
i64,random_uniform,hoare,4194304,1,5,7589274.0,7408019.0,1.8094
i64,random_uniform,hoare_guarded,4194304,1,5,6981100.0,6917589.0,1.6644
i64,random_uniform,block,4194304,1,5,2714502.0,2702562.0,0.6472
i64,random_uniform,boost_block,4194304,1,5,2155529.0,2145609.0,0.5139
i64,random_uniform,fulcrum,4194304,1,5,2517898.0,2237881.0,0.6003
i64,random_uniform,block_simd_amd,4194304,1,5,2017367.0,2007966.0,0.4810
i64,random_uniform,sized,4194304,1,5,2155109.0,2147649.0,0.5138
i64,few_unique,std_partition,4,16384,64,111143.0,108253.0,1.6959
i64,few_unique,lomuto,4,16384,64,97582.0,96572.0,1.4890
i64,few_unique,lomuto_branchless,4,16384,64,43311.0,43001.0,0.6609
i64,few_unique,hoare,4,16384,64,110292.0,109433.0,1.6829
i64,few_unique,hoare_guarded,4,16384,64,109222.0,108422.0,1.6666
i64,few_unique,block,4,16384,64,107682.0,106852.0,1.6431
i64,few_unique,boost_block,4,16384,64,105893.0,104123.0,1.6158
i64,few_unique,fulcrum,4,16384,64,107102.0,105173.0,1.6342
i64,few_unique,block_simd_amd,4,16384,64,108453.0,107772.0,1.6549
i64,few_unique,sized,4,16384,64,41801.0,41461.0,0.6378
i64,few_unique,std_partition,8,8192,64,117803.0,116542.0,1.7975
i64,few_unique,lomuto,8,8192,64,125773.0,124423.0,1.9191
i64,few_unique,lomuto_branchless,8,8192,64,40811.0,40361.0,0.6227
i64,few_unique,hoare,8,8192,64,124793.0,123453.0,1.9042
i64,few_unique,hoare_guarded,8,8192,64,110322.0,109322.0,1.6834
i64,few_unique,block,8,8192,64,122643.0,121022.0,1.8714
i64,few_unique,boost_block,8,8192,64,119593.0,117312.0,1.8248
i64,few_unique,fulcrum,8,8192,64,122173.0,120492.0,1.8642
i64,few_unique,block_simd_amd,8,8192,64,123293.0,120923.0,1.8813
i64,few_unique,sized,8,8192,64,40721.0,40221.0,0.6214
