type,method,n,ns_per_elem
pair64f,pred,65536,1.1377
pair64f,pos,65536,0.6937
pair64f,hoare,1048576,2.5171
pair64f,value,1048576,0.7167
pair64f,pred,1048576,1.1398
pair64f,pos,1048576,0.7077
pair64f,hoare,4194304,1.2860
pair64f,value,4194304,0.9677
pair64f,pred,4194304,1.1901
pair64f,pos,4194304,0.9433
