type,n,f,p,algo,ns_per_elem,ns_per_suffix_elem
pair64,1048576,0.90,0.10,scan_swap,0.0857,0.8572
pair64,1048576,0.90,0.10,gap_off,0.0761,0.7614
pair64,1048576,0.90,0.10,part_swap,0.0769,0.7690
pair64,1048576,0.90,0.10,fused_block,0.6705,6.7049
pair64,1048576,0.90,0.10,prefix_fill,0.0720,0.7204
pair64,1048576,0.90,0.10,whole,0.6554,6.5541
pair64,1048576,0.90,0.10,sized_off,0.0720,0.7199
pair64,1048576,0.90,0.50,scan_swap,0.2715,2.7154
pair64,1048576,0.90,0.50,gap_off,0.0768,0.7683
pair64,1048576,0.90,0.50,part_swap,0.1044,1.0444
pair64,1048576,0.90,0.50,fused_block,0.6672,6.6716
pair64,1048576,0.90,0.50,prefix_fill,0.0907,0.9070
pair64,1048576,0.90,0.50,whole,0.6794,6.7936
pair64,1048576,0.90,0.50,sized_off,0.0908,0.9075
pair64,1048576,0.90,0.90,scan_swap,0.0986,0.9857
pair64,1048576,0.90,0.90,gap_off,0.0757,0.7569
pair64,1048576,0.90,0.90,part_swap,0.1166,1.1662
pair64,1048576,0.90,0.90,fused_block,0.6692,6.6918
pair64,1048576,0.90,0.90,prefix_fill,0.1082,1.0824
pair64,1048576,0.90,0.90,whole,0.6984,6.9838
pair64,1048576,0.90,0.90,sized_off,0.1083,1.0831
pair64,4194304,0.10,0.10,scan_swap,0.9363,1.0403
pair64,4194304,0.10,0.10,gap_off,1.0462,1.1624
pair64,4194304,0.10,0.10,part_swap,0.9789,1.0877
pair64,4194304,0.10,0.10,fused_block,0.8790,0.9767
pair64,4194304,0.10,0.10,prefix_fill,0.8580,0.9533
pair64,4194304,0.10,0.10,whole,0.9264,1.0293
pair64,4194304,0.10,0.10,sized_off,0.8578,0.9532
pair64,4194304,0.10,0.50,scan_swap,2.5140,2.7934
pair64,4194304,0.10,0.50,gap_off,1.1585,1.2873
pair64,4194304,0.10,0.50,part_swap,1.0497,1.1663
pair64,4194304,0.10,0.50,fused_block,0.9538,1.0598
pair64,4194304,0.10,0.50,prefix_fill,1.0377,1.1530
pair64,4194304,0.10,0.50,whole,0.9684,1.0760
pair64,4194304,0.10,0.50,sized_off,1.0380,1.1534
pair64,4194304,0.10,0.90,scan_swap,1.2705,1.4116
pair64,4194304,0.10,0.90,gap_off,1.2373,1.3748
pair64,4194304,0.10,0.90,part_swap,0.9854,1.0949
pair64,4194304,0.10,0.90,fused_block,0.9205,1.0228
pair64,4194304,0.10,0.90,prefix_fill,0.9254,1.0282
pair64,4194304,0.10,0.90,whole,0.9449,1.0499
pair64,4194304,0.10,0.90,sized_off,0.9251,1.0279
pair64,4194304,0.50,0.10,scan_swap,0.5157,1.0314
pair64,4194304,0.50,0.10,gap_off,0.5754,1.1509
pair64,4194304,0.50,0.10,part_swap,0.5398,1.0796
pair64,4194304,0.50,0.10,fused_block,0.8626,1.7252
pair64,4194304,0.50,0.10,prefix_fill,0.4697,0.9393
pair64,4194304,0.50,0.10,whole,0.8883,1.7766
pair64,4194304,0.50,0.10,sized_off,0.4695,0.9390
pair64,4194304,0.50,0.50,scan_swap,1.3963,2.7925
pair64,4194304,0.50,0.50,gap_off,0.7061,1.4122
pair64,4194304,0.50,0.50,part_swap,0.8853,1.7707
pair64,4194304,0.50,0.50,fused_block,0.9328,1.8655
pair64,4194304,0.50,0.50,prefix_fill,0.7099,1.4199
pair64,4194304,0.50,0.50,whole,1.0040,2.0079
pair64,4194304,0.50,0.50,sized_off,0.7048,1.4097
pair64,4194304,0.50,0.90,scan_swap,0.8704,1.7408
pair64,4194304,0.50,0.90,gap_off,0.8770,1.7541
pair64,4194304,0.50,0.90,part_swap,1.2693,2.5386
pair64,4194304,0.50,0.90,fused_block,0.9472,1.8944
pair64,4194304,0.50,0.90,prefix_fill,0.8943,1.7886
pair64,4194304,0.50,0.90,whole,1.0206,2.0411
pair64,4194304,0.50,0.90,sized_off,0.8954,1.7908
pair64,4194304,0.90,0.10,scan_swap,0.1019,1.0191
pair64,4194304,0.90,0.10,gap_off,0.1047,1.0473
pair64,4194304,0.90,0.10,part_swap,0.1011,1.0108
pair64,4194304,0.90,0.10,fused_block,0.8323,8.3231
pair64,4194304,0.90,0.10,prefix_fill,0.0928,0.9279
pair64,4194304,0.90,0.10,whole,0.8341,8.3410
pair64,4194304,0.90,0.10,sized_off,0.0934,0.9336
pair64,4194304,0.90,0.50,scan_swap,0.2776,2.7756
pair64,4194304,0.90,0.50,gap_off,0.1296,1.2963
pair64,4194304,0.90,0.50,part_swap,0.1699,1.6990
pair64,4194304,0.90,0.50,fused_block,0.8473,8.4731
pair64,4194304,0.90,0.50,prefix_fill,0.1320,1.3199
pair64,4194304,0.90,0.50,whole,0.8586,8.5863
pair64,4194304,0.90,0.50,sized_off,0.1316,1.3160
pair64,4194304,0.90,0.90,scan_swap,0.1609,1.6087
pair64,4194304,0.90,0.90,gap_off,0.1599,1.5992
pair64,4194304,0.90,0.90,part_swap,0.2261,2.2605
pair64,4194304,0.90,0.90,fused_block,0.8491,8.4914
pair64,4194304,0.90,0.90,prefix_fill,0.1687,1.6871
pair64,4194304,0.90,0.90,whole,0.8698,8.6975
pair64,4194304,0.90,0.90,sized_off,0.1687,1.6871
