section,type,dist,n,route,ns_per_elem
partition,i64,sorted_descending,8,rev_view,0.7318
partition,i64,sorted_descending,16,fwd,0.5994
partition,i64,sorted_descending,16,rev_rw,0.6014
partition,i64,sorted_descending,16,rev_neg,0.6023
partition,i64,sorted_descending,16,rev_view,0.6827
partition,i64,sorted_descending,24,fwd,0.6105
partition,i64,sorted_descending,24,rev_rw,0.6082
partition,i64,sorted_descending,24,rev_neg,0.6072
partition,i64,sorted_descending,24,rev_view,0.6681
partition,i64,sorted_descending,64,fwd,0.6091
partition,i64,sorted_descending,64,rev_rw,0.6098
partition,i64,sorted_descending,64,rev_neg,0.6096
partition,i64,sorted_descending,64,rev_view,0.7773
partition,i64,sorted_descending,256,fwd,0.6488
partition,i64,sorted_descending,256,rev_rw,0.6404
partition,i64,sorted_descending,256,rev_neg,0.6395
partition,i64,sorted_descending,256,rev_view,0.7106
partition,i64,sorted_descending,1024,fwd,0.6552
partition,i64,sorted_descending,1024,rev_rw,0.1738
partition,i64,sorted_descending,1024,rev_neg,0.1726
partition,i64,sorted_descending,1024,rev_view,0.2562
partition,i64,sorted_descending,4096,fwd,0.6093
partition,i64,sorted_descending,4096,rev_rw,0.1543
partition,i64,sorted_descending,4096,rev_neg,0.1544
partition,i64,sorted_descending,4096,rev_view,0.2324
partition,i64,sorted_descending,65536,fwd,0.5931
partition,i64,sorted_descending,65536,rev_rw,0.1442
partition,i64,sorted_descending,65536,rev_neg,0.1443
partition,i64,sorted_descending,65536,rev_view,0.2226
partition,i64,sorted_descending,262144,fwd,0.6021
partition,i64,sorted_descending,262144,rev_rw,0.1456
partition,i64,sorted_descending,262144,rev_neg,0.1462
partition,i64,sorted_descending,262144,rev_view,0.2170
partition,i64,sorted_descending,1048576,fwd,0.5978
partition,i64,sorted_descending,1048576,rev_rw,0.1457
partition,i64,sorted_descending,1048576,rev_neg,0.1457
partition,i64,sorted_descending,1048576,rev_view,0.2140
partition,i64,sorted_descending,4194304,fwd,0.6270
partition,i64,sorted_descending,4194304,rev_rw,0.3200
partition,i64,sorted_descending,4194304,rev_neg,0.3203
partition,i64,sorted_descending,4194304,rev_view,0.3557
quicksort,i64,sorted_descending,4096,qs_fwd,7.6956
quicksort,i64,sorted_descending,4096,qs_rev_rw,8.0181
quicksort,i64,sorted_descending,4096,qs_rev_view,9.2825
quicksort,i64,sorted_descending,1048576,qs_fwd,9.1105
quicksort,i64,sorted_descending,1048576,qs_rev_rw,9.2736
quicksort,i64,sorted_descending,1048576,qs_rev_view,11.0961
quicksort,i64,sorted_descending,4194304,qs_fwd,9.6732
quicksort,i64,sorted_descending,4194304,qs_rev_rw,10.0100
quicksort,i64,sorted_descending,4194304,qs_rev_view,11.7531
partition,i64,organ_pipe,8,fwd,0.5618
partition,i64,organ_pipe,8,rev_rw,0.5811
partition,i64,organ_pipe,8,rev_neg,0.5777
partition,i64,organ_pipe,8,rev_view,0.7280
partition,i64,organ_pipe,16,fwd,0.5718
partition,i64,organ_pipe,16,rev_rw,0.5893
partition,i64,organ_pipe,16,rev_neg,0.5869
partition,i64,organ_pipe,16,rev_view,0.6838
partition,i64,organ_pipe,24,fwd,0.5728
partition,i64,organ_pipe,24,rev_rw,0.5968
partition,i64,organ_pipe,24,rev_neg,0.5919
partition,i64,organ_pipe,24,rev_view,1.0666
partition,i64,organ_pipe,64,fwd,0.5715
partition,i64,organ_pipe,64,rev_rw,0.5985
partition,i64,organ_pipe,64,rev_neg,0.5945
partition,i64,organ_pipe,64,rev_view,0.8657
partition,i64,organ_pipe,256,fwd,0.5852
partition,i64,organ_pipe,256,rev_rw,0.6104
partition,i64,organ_pipe,256,rev_neg,0.6076
partition,i64,organ_pipe,256,rev_view,0.6905
partition,i64,organ_pipe,1024,fwd,0.2262
partition,i64,organ_pipe,1024,rev_rw,0.4061
partition,i64,organ_pipe,1024,rev_neg,0.4091
partition,i64,organ_pipe,1024,rev_view,0.4729
partition,i64,organ_pipe,4096,fwd,0.2184
partition,i64,organ_pipe,4096,rev_rw,0.3432
partition,i64,organ_pipe,4096,rev_neg,0.3444
partition,i64,organ_pipe,4096,rev_view,0.3618
partition,i64,organ_pipe,65536,fwd,0.2148
partition,i64,organ_pipe,65536,rev_rw,0.3160
partition,i64,organ_pipe,65536,rev_neg,0.3180
partition,i64,organ_pipe,65536,rev_view,0.3215
partition,i64,organ_pipe,262144,fwd,0.2137
partition,i64,organ_pipe,262144,rev_rw,0.3159
partition,i64,organ_pipe,262144,rev_neg,0.3162
partition,i64,organ_pipe,262144,rev_view,0.3183
partition,i64,organ_pipe,1048576,fwd,0.2106
partition,i64,organ_pipe,1048576,rev_rw,0.3160
partition,i64,organ_pipe,1048576,rev_neg,0.3155
partition,i64,organ_pipe,1048576,rev_view,0.3182
partition,i64,organ_pipe,4194304,fwd,0.3553
partition,i64,organ_pipe,4194304,rev_rw,0.4097
partition,i64,organ_pipe,4194304,rev_neg,0.4099
partition,i64,organ_pipe,4194304,rev_view,0.4156
quicksort,i64,organ_pipe,4096,qs_fwd,9.8928
quicksort,i64,organ_pipe,4096,qs_rev_rw,10.0469
quicksort,i64,organ_pipe,4096,qs_rev_view,12.0732
quicksort,i64,organ_pipe,1048576,qs_fwd,14.6458
quicksort,i64,organ_pipe,1048576,qs_rev_rw,14.8052
quicksort,i64,organ_pipe,1048576,qs_rev_view,19.2792
quicksort,i64,organ_pipe,4194304,qs_fwd,15.8682
quicksort,i64,organ_pipe,4194304,qs_rev_rw,15.7114
quicksort,i64,organ_pipe,4194304,qs_rev_view,20.8042
partition,pair64,random_uniform,8,fwd,4.8642
partition,pair64,random_uniform,8,rev_rw,4.5262
partition,pair64,random_uniform,8,rev_neg,4.6332
partition,pair64,random_uniform,8,rev_view,4.9590
partition,pair64,random_uniform,16,fwd,4.6584
partition,pair64,random_uniform,16,rev_rw,4.4081
partition,pair64,random_uniform,16,rev_neg,4.3297
partition,pair64,random_uniform,16,rev_view,4.7213
partition,pair64,random_uniform,24,fwd,4.4507
partition,pair64,random_uniform,24,rev_rw,4.2711
partition,pair64,random_uniform,24,rev_neg,4.1508
partition,pair64,random_uniform,24,rev_view,4.4825
partition,pair64,random_uniform,64,fwd,1.1654
partition,pair64,random_uniform,64,rev_rw,1.1472
partition,pair64,random_uniform,64,rev_neg,1.1605
partition,pair64,random_uniform,64,rev_view,1.3584
partition,pair64,random_uniform,256,fwd,0.9884
partition,pair64,random_uniform,256,rev_rw,0.9911
partition,pair64,random_uniform,256,rev_neg,0.9909
partition,pair64,random_uniform,256,rev_view,1.1748
partition,pair64,random_uniform,1024,fwd,1.4748
partition,pair64,random_uniform,1024,rev_rw,1.4638
partition,pair64,random_uniform,1024,rev_neg,1.4504
partition,pair64,random_uniform,1024,rev_view,1.5998
partition,pair64,random_uniform,4096,fwd,0.7787
partition,pair64,random_uniform,4096,rev_rw,0.7758
partition,pair64,random_uniform,4096,rev_neg,0.7787
partition,pair64,random_uniform,4096,rev_view,0.9894
partition,pair64,random_uniform,65536,fwd,0.8066
partition,pair64,random_uniform,65536,rev_rw,0.8008
partition,pair64,random_uniform,65536,rev_neg,0.8040
partition,pair64,random_uniform,65536,rev_view,1.0921
partition,pair64,random_uniform,262144,fwd,0.7891
partition,pair64,random_uniform,262144,rev_rw,0.7896
partition,pair64,random_uniform,262144,rev_neg,0.7877
