type,case,algo,n,k,delta,total_ops,samples,min_ns,p50_ns,p90_ns,mean_ns,cv_pct
i64,b,extend_sorted,9,3,6,5002047,687,18.935,19.318,19.897,19.445,1.72
i64,b,merge_sorted,9,3,6,5002047,687,22.757,23.061,23.521,23.136,1.29
i64,b,merge_branchless,9,3,6,5002047,687,24.872,25.047,25.529,25.141,0.98
i64,b,sort_network,9,3,6,5002047,687,5.705,5.723,5.775,5.761,2.16
i64,b,std::inplace_merge,9,3,6,5002047,687,28.048,28.495,29.023,28.572,1.12
i64,b,std::merge,9,3,6,5002047,687,20.537,20.881,21.348,20.953,1.26
i64,a,extend_sorted,9,1,8,5002047,687,46.253,47.225,47.801,47.268,1.06
i64,a,extend_scan,9,1,8,5002047,687,63.537,64.265,64.893,64.340,0.85
i64,a,extend_bsearch,9,1,8,5002047,687,83.706,84.720,85.521,84.900,1.54
i64,a,sort_network,9,1,8,5002047,687,5.692,5.722,5.766,5.759,3.13
i64,a,std::sort,9,1,8,5002047,687,51.390,52.256,52.901,52.305,1.04
i64,b,extend_sorted,9,1,8,5002047,687,12.026,12.262,12.854,12.422,2.70
i64,b,merge_sorted,9,1,8,5002047,687,12.229,12.405,12.614,12.458,1.90
i64,b,merge_branchless,9,1,8,5002047,687,22.268,22.393,22.844,22.476,1.31
i64,b,sort_network,9,1,8,5002047,687,5.694,5.704,5.763,5.763,3.58
i64,b,std::inplace_merge,9,1,8,5002047,687,16.883,17.163,17.615,17.262,2.22
i64,b,std::merge,9,1,8,5002047,687,10.801,10.918,11.225,10.991,2.41
i64,a,extend_sorted,10,9,1,5006492,764,11.650,11.812,11.900,11.846,1.38
i64,a,extend_scan,10,9,1,5006492,764,9.922,10.029,10.093,10.064,1.84
i64,a,extend_bsearch,10,9,1,5006492,764,12.826,13.018,13.211,13.077,1.65
i64,a,sort_network,10,9,1,5006492,764,4.447,4.502,4.538,4.543,4.80
i64,a,std::sort,10,9,1,5006492,764,16.758,16.939,17.516,17.039,2.79
i64,b,extend_sorted,10,9,1,5006492,764,11.508,11.693,11.854,11.748,1.90
i64,b,merge_sorted,10,9,1,5006492,764,9.736,9.971,10.533,10.175,4.14
i64,b,merge_branchless,10,9,1,5006492,764,20.281,20.532,21.114,20.645,2.11
i64,b,sort_network,10,9,1,5006492,764,4.450,4.500,4.537,4.536,4.65
i64,b,std::inplace_merge,10,9,1,5006492,764,16.935,17.262,17.701,17.364,3.11
i64,b,std::merge,10,9,1,5006492,764,10.948,11.136,11.976,11.297,3.48
i64,a,extend_sorted,10,8,2,5006492,764,22.738,23.086,23.648,23.208,1.98
i64,a,extend_scan,10,8,2,5006492,764,18.609,18.965,19.499,19.054,1.90
i64,a,extend_bsearch,10,8,2,5006492,764,25.491,26.005,26.576,26.129,2.29
i64,a,sort_network,10,8,2,5006492,764,4.423,4.496,4.529,4.527,4.10
i64,a,std::sort,10,8,2,5006492,764,22.303,22.790,23.372,22.929,3.53
i64,b,extend_sorted,10,8,2,5006492,764,19.183,19.472,19.986,19.560,1.68
i64,b,merge_sorted,10,8,2,5006492,764,16.242,16.729,17.091,16.765,2.10
i64,b,merge_branchless,10,8,2,5006492,764,25.679,26.025,26.619,26.141,1.64
i64,b,sort_network,10,8,2,5006492,764,4.427,4.488,4.522,4.513,3.35
i64,b,std::inplace_merge,10,8,2,5006492,764,24.502,25.034,25.582,25.150,2.43
i64,b,std::merge,10,8,2,5006492,764,15.941,16.312,17.222,16.479,2.92
i64,a,extend_sorted,10,7,3,5006492,764,31.875,32.450,33.054,32.592,1.93
i64,a,extend_scan,10,7,3,5006492,764,28.140,28.606,29.203,28.721,1.82
i64,a,extend_bsearch,10,7,3,5006492,764,39.336,40.044,40.683,40.173,1.69
i64,a,sort_network,10,7,3,5006492,764,4.427,4.487,4.512,4.509,3.06
i64,a,std::sort,10,7,3,5006492,764,28.192,29.127,29.709,29.249,2.92
i64,b,extend_sorted,10,7,3,5006492,764,23.771,24.167,24.691,24.262,1.83
i64,b,merge_sorted,10,7,3,5006492,764,21.595,22.059,22.636,22.207,5.24
i64,b,merge_branchless,10,7,3,5006492,764,26.956,27.354,27.955,27.466,1.89
i64,b,sort_network,10,7,3,5006492,764,4.439,4.502,4.532,4.537,4.44
i64,b,std::inplace_merge,10,7,3,5006492,764,29.673,30.364,30.955,30.476,2.44
i64,b,std::merge,10,7,3,5006492,764,20.751,21.303,22.229,21.487,2.74
i64,a,extend_sorted,10,6,4,5006492,764,39.549,40.201,40.815,40.357,2.03
i64,a,extend_scan,10,6,4,5006492,764,37.861,38.513,39.093,38.638,2.06
i64,a,extend_bsearch,10,6,4,5006492,764,51.802,52.695,53.354,52.770,1.05
i64,a,sort_network,10,6,4,5006492,764,4.439,4.491,4.519,4.518,2.88
i64,a,std::sort,10,6,4,5006492,764,34.388,35.437,36.004,35.529,2.61
i64,b,extend_sorted,10,6,4,5006492,764,26.659,27.135,27.695,27.283,2.65
i64,b,merge_sorted,10,6,4,5006492,764,26.833,27.510,28.225,27.631,2.14
i64,b,merge_branchless,10,6,4,5006492,764,29.598,30.054,30.698,30.159,1.33
i64,b,sort_network,10,6,4,5006492,764,4.429,4.477,4.506,4.512,5.00
i64,b,std::inplace_merge,10,6,4,5006492,764,33.816,34.490,35.089,34.636,2.61
i64,b,std::merge,10,6,4,5006492,764,24.869,25.435,26.337,25.615,2.32
i64,a,extend_sorted,10,4,6,5006492,764,54.555,55.365,56.049,55.503,1.87
i64,a,extend_scan,10,4,6,5006492,764,54.663,55.527,56.221,55.653,1.73
i64,a,extend_bsearch,10,4,6,5006492,764,74.328,75.551,76.330,75.765,1.91
i64,a,sort_network,10,4,6,5006492,764,4.433,4.484,4.518,4.517,3.41
i64,a,std::sort,10,4,6,5006492,764,46.333,47.121,47.964,47.294,2.11
i64,b,extend_sorted,10,4,6,5006492,764,27.545,28.141,28.755,28.313,4.63
i64,b,merge_sorted,10,4,6,5006492,764,27.185,27.939,28.604,28.043,2.40
i64,b,merge_branchless,10,4,6,5006492,764,28.293,28.660,29.195,28.779,1.78
i64,b,sort_network,10,4,6,5006492,764,4.436,4.487,4.523,4.514,3.35
i64,b,std::inplace_merge,10,4,6,5006492,764,33.314,34.580,35.307,34.636,2.90
i64,b,std::merge,10,4,6,5006492,764,24.954,25.753,26.715,25.951,2.91
i64,a,extend_sorted,10,2,8,5006492,764,65.956,66.840,67.588,66.907,0.98
i64,a,extend_scan,10,2,8,5006492,764,69.692,70.803,71.633,70.881,1.02
i64,a,extend_bsearch,10,2,8,5006492,764,92.406,93.439,94.394,93.614,1.05
i64,a,sort_network,10,2,8,5006492,764,4.435,4.482,4.526,4.516,3.26
i64,a,std::sort,10,2,8,5006492,764,57.758,58.748,59.496,58.849,1.94
i64,b,extend_sorted,10,2,8,5006492,764,23.257,23.729,24.200,23.804,1.73
i64,b,merge_sorted,10,2,8,5006492,764,18.668,19.225,19.691,19.298,1.89
i64,b,merge_branchless,10,2,8,5006492,764,26.277,26.442,27.002,26.544,1.24
i64,b,sort_network,10,2,8,5006492,764,4.421,4.453,4.498,4.483,2.56
i64,b,std::inplace_merge,10,2,8,5006492,764,24.521,25.095,25.609,25.095,2.35
i64,b,std::merge,10,2,8,5006492,764,16.489,16.854,17.635,16.994,2.29
i64,a,extend_sorted,11,10,1,5003880,840,12.498,12.676,12.828,12.736,1.98
i64,a,extend_scan,11,10,1,5003880,840,9.569,9.683,9.886,9.748,2.15
i64,a,extend_bsearch,11,10,1,5003880,840,13.650,13.910,14.219,13.990,2.22
i64,a,sort_network,11,10,1,5003880,840,5.201,5.256,5.280,5.285,2.57
i64,a,std::sort,11,10,1,5003880,840,14.209,14.524,14.679,14.561,2.82
i64,b,extend_sorted,11,10,1,5003880,840,12.584,12.740,12.878,12.800,2.25
i64,b,merge_sorted,11,10,1,5003880,840,10.781,10.877,10.979,10.945,2.78
i64,b,merge_branchless,11,10,1,5003880,840,22.819,23.012,23.627,23.130,1.62
i64,b,sort_network,11,10,1,5003880,840,5.199,5.253,5.278,5.276,2.30
i64,b,std::inplace_merge,11,10,1,5003880,840,17.089,17.418,18.153,17.549,2.33
i64,b,std::merge,11,10,1,5003880,840,11.521,11.640,11.765,11.704,2.38
i64,a,extend_sorted,11,9,2,5003880,840,24.070,24.368,24.971,24.477,1.68
i64,a,extend_scan,11,9,2,5003880,840,18.432,18.765,19.314,18.861,2.13
i64,a,extend_bsearch,11,9,2,5003880,840,26.296,26.779,27.395,26.892,1.72
i64,a,sort_network,11,9,2,5003880,840,5.177,5.228,5.258,5.257,2.73
i64,a,std::sort,11,9,2,5003880,840,20.737,21.584,22.024,21.657,5.55
i64,b,extend_sorted,11,9,2,5003880,840,20.690,21.026,21.597,21.124,2.07
i64,b,merge_sorted,11,9,2,5003880,840,17.652,17.926,18.475,18.030,2.59
i64,b,merge_branchless,11,9,2,5003880,840,28.537,28.756,29.388,28.895,1.29
i64,b,sort_network,11,9,2,5003880,840,5.174,5.226,5.258,5.256,2.65
i64,b,std::inplace_merge,11,9,2,5003880,840,24.659,25.287,25.843,25.407,2.90
i64,b,std::merge,11,9,2,5003880,840,17.061,17.362,17.730,17.452,2.61
i64,a,extend_sorted,11,8,3,5003880,840,37.055,37.649,38.334,37.763,1.69
i64,a,extend_scan,11,8,3,5003880,840,28.386,28.960,29.630,29.110,2.19
i64,a,extend_bsearch,11,8,3,5003880,840,40.187,40.933,41.693,41.147,3.17
i64,a,sort_network,11,8,3,5003880,840,5.181,5.241,5.283,5.277,3.55
i64,a,std::sort,11,8,3,5003880,840,27.449,28.535,29.724,28.731,3.06
i64,b,extend_sorted,11,8,3,5003880,840,27.885,28.377,29.015,28.484,1.72
i64,b,merge_sorted,11,8,3,5003880,840,23.559,23.945,24.495,24.040,2.06
i64,b,merge_branchless,11,8,3,5003880,840,29.850,30.263,30.884,30.371,1.81
i64,b,sort_network,11,8,3,5003880,840,5.172,5.244,5.287,5.279,3.06
i64,b,std::inplace_merge,11,8,3,5003880,840,30.053,31.178,31.723,31.264,2.65
i64,b,std::merge,11,8,3,5003880,840,22.049,22.547,23.153,22.665,2.09
i64,a,extend_sorted,11,7,4,5003880,840,48.312,49.175,49.887,49.240,1.12
i64,a,extend_scan,11,7,4,5003880,840,38.043,38.718,39.442,38.867,1.89
i64,a,extend_bsearch,11,7,4,5003880,840,54.151,55.200,56.032,55.388,1.84
i64,a,sort_network,11,7,4,5003880,840,5.167,5.229,5.271,5.260,3.22
i64,a,std::sort,11,7,4,5003880,840,35.577,36.510,37.187,36.636,2.18
i64,b,extend_sorted,11,7,4,5003880,840,32.747,33.327,33.959,33.414,1.44
i64,b,merge_sorted,11,7,4,5003880,840,29.578,30.123,30.733,30.264,2.33
i64,b,merge_branchless,11,7,4,5003880,840,33.219,33.671,34.311,33.771,3.17
i64,b,sort_network,11,7,4,5003880,840,5.175,5.233,5.271,5.256,2.62
i64,b,std::inplace_merge,11,7,4,5003880,840,35.658,36.582,37.277,36.684,1.71
i64,b,std::merge,11,7,4,5003880,840,27.383,28.375,29.037,28.444,1.89
i64,a,extend_sorted,11,5,6,5003880,840,65.229,66.172,66.906,66.246,1.15
i64,a,extend_scan,11,5,6,5003880,840,54.883,55.932,56.575,56.005,1.41
i64,a,extend_bsearch,11,5,6,5003880,840,78.128,79.353,80.191,79.466,1.28
i64,a,sort_network,11,5,6,5003880,840,5.177,5.224,5.270,5.258,2.74
i64,a,std::sort,11,5,6,5003880,840,47.856,48.813,49.518,48.897,1.37
i64,b,extend_sorted,11,5,6,5003880,840,34.213,34.845,35.452,34.979,1.77
i64,b,merge_sorted,11,5,6,5003880,840,33.246,33.697,34.332,33.817,1.42
i64,b,merge_branchless,11,5,6,5003880,840,31.755,32.037,32.618,32.155,1.27
i64,b,sort_network,11,5,6,5003880,840,5.181,5.223,5.270,5.254,2.62
i64,b,std::inplace_merge,11,5,6,5003880,840,37.169,38.777,39.576,38.937,1.85
i64,b,std::merge,11,5,6,5003880,840,30.058,31.162,31.782,31.274,3.83
i64,a,extend_sorted,11,3,8,5003880,840,79.334,80.329,81.162,80.432,1.14
i64,a,extend_scan,11,3,8,5003880,840,71.410,72.664,73.384,72.732,1.24
i64,a,extend_bsearch,11,3,8,5003880,840,98.862,100.140,101.154,100.270,0.99
i64,a,sort_network,11,3,8,5003880,840,5.174,5.212,5.251,5.256,4.55
i64,a,std::sort,11,3,8,5003880,840,60.194,61.677,62.454,61.741,1.10
i64,b,extend_sorted,11,3,8,5003880,840,30.086,30.608,31.274,30.751,2.00
i64,b,merge_sorted,11,3,8,5003880,840,26.069,26.568,27.151,26.664,1.84
i64,b,merge_branchless,11,3,8,5003880,840,29.771,29.981,30.618,30.119,1.38
i64,b,sort_network,11,3,8,5003880,840,5.172,5.207,5.263,5.253,3.25
i64,b,std::inplace_merge,11,3,8,5003880,840,29.484,30.150,31.243,30.435,3.93
i64,b,std::merge,11,3,8,5003880,840,23.485,24.128,24.718,24.225,1.71
i64,a,extend_sorted,12,11,1,5002276,916,13.644,13.862,14.015,13.915,1.54
i64,a,extend_scan,12,11,1,5002276,916,9.704,9.849,9.986,9.906,2.56
i64,a,extend_bsearch,12,11,1,5002276,916,14.877,15.221,15.391,15.295,2.51
i64,a,sort_network,12,11,1,5002276,916,7.345,7.418,7.470,7.461,2.58
i64,a,std::sort,12,11,1,5002276,916,19.493,19.733,20.343,19.846,3.13
i64,b,extend_sorted,12,11,1,5002276,916,13.798,13.985,14.115,14.045,2.91
i64,b,merge_sorted,12,11,1,5002276,916,10.022,10.156,10.399,10.252,2.98
i64,b,merge_branchless,12,11,1,5002276,916,25.522,25.754,26.474,25.900,1.84
i64,b,sort_network,12,11,1,5002276,916,7.341,7.442,7.493,7.482,2.35
i64,b,std::inplace_merge,12,11,1,5002276,916,17.003,17.676,18.125,17.742,2.62
i64,b,std::merge,12,11,1,5002276,916,11.723,12.201,12.342,12.199,1.82
i64,a,extend_sorted,12,10,2,5002276,916,26.602,27.064,27.893,27.333,3.24
i64,a,extend_scan,12,10,2,5002276,916,18.898,19.177,19.895,19.385,3.86
i64,a,extend_bsearch,12,10,2,5002276,916,29.427,30.030,30.827,30.302,3.45
i64,a,sort_network,12,10,2,5002276,916,7.343,7.468,7.918,7.563,4.28
i64,a,std::sort,12,10,2,5002276,916,25.934,26.357,27.133,26.680,5.41
i64,b,extend_sorted,12,10,2,5002276,916,22.822,23.285,24.006,23.532,3.68
i64,b,merge_sorted,12,10,2,5002276,916,17.127,17.418,18.151,17.661,4.25
i64,b,merge_branchless,12,10,2,5002276,916,30.973,31.358,32.221,31.699,3.44
i64,b,sort_network,12,10,2,5002276,916,7.329,7.453,7.903,7.556,5.02
i64,b,std::inplace_merge,12,10,2,5002276,916,25.247,25.796,26.583,26.072,4.06
i64,b,std::merge,12,10,2,5002276,916,18.298,18.658,19.388,18.852,3.79
i64,a,extend_sorted,12,9,3,5002276,916,37.206,37.627,38.324,37.757,1.37
i64,a,extend_scan,12,9,3,5002276,916,28.856,29.351,30.003,29.461,1.68
i64,a,extend_bsearch,12,9,3,5002276,916,45.366,46.165,46.910,46.313,2.70
i64,a,sort_network,12,9,3,5002276,916,7.341,7.418,7.473,7.459,2.79
i64,a,std::sort,12,9,3,5002276,916,31.489,32.459,33.575,32.696,2.99
i64,b,extend_sorted,12,9,3,5002276,916,29.658,30.051,30.692,30.148,1.31
i64,b,merge_sorted,12,9,3,5002276,916,23.520,24.416,24.761,24.385,1.79
i64,b,merge_branchless,12,9,3,5002276,916,32.226,32.522,33.179,32.637,1.18
i64,b,sort_network,12,9,3,5002276,916,7.323,7.413,7.487,7.462,2.63
i64,b,std::inplace_merge,12,9,3,5002276,916,30.962,31.448,32.181,31.584,1.73
i64,b,std::merge,12,9,3,5002276,916,23.222,23.792,24.351,23.867,1.99
i64,a,extend_sorted,12,8,4,5002276,916,47.216,47.996,48.662,48.095,0.94
i64,a,extend_scan,12,8,4,5002276,916,38.833,39.400,40.118,39.512,1.29
i64,a,extend_bsearch,12,8,4,5002276,916,60.813,61.551,62.306,61.708,2.18
i64,a,sort_network,12,8,4,5002276,916,7.369,7.438,7.499,7.473,2.29
i64,a,std::sort,12,8,4,5002276,916,39.331,41.339,42.422,41.388,2.17
i64,b,extend_sorted,12,8,4,5002276,916,34.264,34.579,35.265,34.711,1.20
i64,b,merge_sorted,12,8,4,5002276,916,30.145,30.829,31.414,30.901,1.60
i64,b,merge_branchless,12,8,4,5002276,916,34.804,35.844,36.510,35.957,1.29
i64,b,sort_network,12,8,4,5002276,916,7.321,7.400,7.475,7.450,2.90
i64,b,std::inplace_merge,12,8,4,5002276,916,36.207,36.702,37.385,36.823,1.35
i64,b,std::merge,12,8,4,5002276,916,29.310,30.050,30.676,30.152,1.64
i64,a,extend_sorted,12,6,6,5002276,916,64.969,65.831,66.543,65.898,0.91
i64,a,extend_scan,12,6,6,5002276,916,56.515,57.391,58.153,57.547,1.15
i64,a,extend_bsearch,12,6,6,5002276,916,89.825,90.921,91.710,91.053,1.69
i64,a,sort_network,12,6,6,5002276,916,7.343,7.400,7.473,7.456,3.68
i64,a,std::sort,12,6,6,5002276,916,50.853,52.473,53.455,52.507,1.72
i64,b,extend_sorted,12,6,6,5002276,916,39.973,40.418,41.130,40.593,1.55
i64,b,merge_sorted,12,6,6,5002276,916,35.731,36.175,36.821,36.298,1.24
i64,b,merge_branchless,12,6,6,5002276,916,34.366,34.644,35.308,34.774,1.22
i64,b,sort_network,12,6,6,5002276,916,7.350,7.407,7.484,7.467,4.07
i64,b,std::inplace_merge,12,6,6,5002276,916,41.887,42.753,43.461,42.890,1.94
i64,b,std::merge,12,6,6,5002276,916,33.665,34.678,35.331,34.757,1.42
i64,a,extend_sorted,12,4,8,5002276,916,78.185,79.440,80.185,79.563,1.27
i64,a,extend_scan,12,4,8,5002276,916,73.345,74.571,75.403,74.713,1.38
i64,a,extend_bsearch,12,4,8,5002276,916,115.765,117.229,118.317,117.463,1.45
i64,a,sort_network,12,4,8,5002276,916,7.380,7.449,7.520,7.506,3.60
i64,a,std::sort,12,4,8,5002276,916,62.485,63.452,64.373,63.634,2.35
i64,b,extend_sorted,12,4,8,5002276,916,33.520,34.146,34.768,34.269,1.96
i64,b,merge_sorted,12,4,8,5002276,916,31.561,32.057,32.655,32.188,2.15
i64,b,merge_branchless,12,4,8,5002276,916,33.224,33.509,34.167,33.643,1.66
i64,b,sort_network,12,4,8,5002276,916,7.330,7.405,7.481,7.450,2.58
i64,b,std::inplace_merge,12,4,8,5002276,916,36.615,38.737,39.498,38.864,2.06
i64,b,std::merge,12,4,8,5002276,916,29.547,30.607,31.255,30.580,2.24
i64,a,extend_sorted,13,12,1,5000672,992,13.537,13.814,14.229,13.903,2.43
i64,a,extend_scan,13,12,1,5000672,992,9.851,10.012,10.127,10.077,3.17
i64,a,extend_bsearch,13,12,1,5000672,992,14.412,14.638,14.775,14.704,2.08
i64,a,sort_network,13,12,1,5000672,992,7.463,7.550,7.598,7.591,2.44
i64,a,std::sort,13,12,1,5000672,992,16.025,16.473,16.761,16.560,2.27
i64,b,extend_sorted,13,12,1,5000672,992,13.549,13.787,13.930,13.847,1.88
i64,b,merge_sorted,13,12,1,5000672,992,10.337,10.484,10.566,10.561,3.29
i64,b,merge_branchless,13,12,1,5000672,992,27.866,28.281,29.014,28.406,1.26
i64,b,sort_network,13,12,1,5000672,992,7.510,7.605,7.653,7.660,3.62
i64,b,std::inplace_merge,13,12,1,5000672,992,17.545,17.855,18.522,18.026,3.01
i64,b,std::merge,13,12,1,5000672,992,12.665,12.930,13.073,13.007,3.51
i64,a,extend_sorted,13,11,2,5000672,992,26.212,26.666,27.521,26.881,2.78
i64,a,extend_scan,13,11,2,5000672,992,18.981,19.303,20.009,19.446,2.62
i64,a,extend_bsearch,13,11,2,5000672,992,28.509,29.028,29.850,29.225,2.55
i64,a,sort_network,13,11,2,5000672,992,7.457,7.548,7.622,7.615,4.02
i64,a,std::sort,13,11,2,5000672,992,23.355,23.753,24.527,23.951,3.60
i64,b,extend_sorted,13,11,2,5000672,992,22.934,23.329,24.123,23.507,2.84
i64,b,merge_sorted,13,11,2,5000672,992,17.263,17.624,18.390,17.840,3.59
i64,b,merge_branchless,13,11,2,5000672,992,33.563,33.946,34.817,34.267,4.12
i64,b,sort_network,13,11,2,5000672,992,7.439,7.538,7.611,7.604,3.75
i64,b,std::inplace_merge,13,11,2,5000672,992,26.053,26.822,27.569,27.044,4.24
i64,b,std::merge,13,11,2,5000672,992,19.003,19.409,20.172,19.577,3.54
i64,a,extend_sorted,13,10,3,5000672,992,40.374,40.971,41.760,41.115,1.24
i64,a,extend_scan,13,10,3,5000672,992,29.715,30.307,31.003,30.439,1.91
i64,a,extend_bsearch,13,10,3,5000672,992,43.705,44.352,45.107,44.480,1.34
i64,a,sort_network,13,10,3,5000672,992,7.447,7.528,7.586,7.572,2.86
i64,a,std::sort,13,10,3,5000672,992,30.411,30.965,31.632,31.082,1.86
i64,b,extend_sorted,13,10,3,5000672,992,31.806,32.246,32.944,32.364,1.60
i64,b,merge_sorted,13,10,3,5000672,992,23.551,24.269,24.845,24.336,1.67
i64,b,merge_branchless,13,10,3,5000672,992,34.837,35.285,35.916,35.394,1.22
i64,b,sort_network,13,10,3,5000672,992,7.469,7.568,7.636,7.616,3.21
i64,b,std::inplace_merge,13,10,3,5000672,992,32.165,32.716,33.436,32.852,1.57
i64,b,std::merge,13,10,3,5000672,992,24.702,25.091,25.747,25.242,4.86
i64,a,extend_sorted,13,9,4,5000672,992,53.510,54.215,54.994,54.355,1.04
i64,a,extend_scan,13,9,4,5000672,992,39.352,39.986,40.676,40.114,1.51
i64,a,extend_bsearch,13,9,4,5000672,992,58.184,58.969,59.763,59.141,1.59
i64,a,sort_network,13,9,4,5000672,992,7.469,7.528,7.588,7.575,2.87
i64,a,std::sort,13,9,4,5000672,992,38.426,39.514,40.391,39.664,2.14
i64,b,extend_sorted,13,9,4,5000672,992,38.709,39.298,39.995,39.447,1.59
i64,b,merge_sorted,13,9,4,5000672,992,30.286,31.064,31.734,31.151,1.54
i64,b,merge_branchless,13,9,4,5000672,992,37.480,37.741,38.408,37.876,1.36
i64,b,sort_network,13,9,4,5000672,992,7.447,7.505,7.580,7.566,3.12
i64,b,std::inplace_merge,13,9,4,5000672,992,38.237,38.924,39.640,39.067,1.87
i64,b,std::merge,13,9,4,5000672,992,30.374,30.862,31.577,31.027,3.91
i64,a,extend_sorted,13,7,6,5000672,992,76.298,77.193,77.954,77.267,0.91
i64,a,extend_scan,13,7,6,5000672,992,56.649,58.037,58.803,58.043,1.22
i64,a,extend_bsearch,13,7,6,5000672,992,85.521,86.768,88.058,86.948,1.22
i64,a,sort_network,13,7,6,5000672,992,7.459,7.499,7.570,7.552,2.76
i64,a,std::sort,13,7,6,5000672,992,51.919,52.944,53.732,53.031,1.26
i64,b,extend_sorted,13,7,6,5000672,992,47.238,47.765,48.498,47.933,1.31
i64,b,merge_sorted,13,7,6,5000672,992,38.079,38.539,39.242,38.667,1.21
i64,b,merge_branchless,13,7,6,5000672,992,37.124,37.383,38.053,37.570,1.19
i64,b,sort_network,13,7,6,5000672,992,7.506,7.556,7.618,7.604,2.51
i64,b,std::inplace_merge,13,7,6,5000672,992,45.012,45.526,46.325,45.772,3.02
i64,b,std::merge,13,7,6,5000672,992,37.237,37.800,38.546,37.944,1.21
i64,a,extend_sorted,13,5,8,5000672,992,92.470,93.662,94.648,93.842,1.99
i64,a,extend_scan,13,5,8,5000672,992,73.463,74.830,75.815,74.939,1.43
i64,a,extend_bsearch,13,5,8,5000672,992,110.744,111.939,113.079,112.150,1.30
i64,a,sort_network,13,5,8,5000672,992,7.467,7.517,7.592,7.578,5.27
i64,a,std::sort,13,5,8,5000672,992,63.848,64.960,65.835,65.066,1.47
i64,b,extend_sorted,13,5,8,5000672,992,45.292,45.808,46.468,45.979,1.69
i64,b,merge_sorted,13,5,8,5000672,992,36.682,37.390,38.139,37.540,1.74
i64,b,merge_branchless,13,5,8,5000672,992,36.444,36.719,37.396,36.867,1.20
i64,b,sort_network,13,5,8,5000672,992,7.455,7.497,7.574,7.546,2.71
i64,b,std::inplace_merge,13,5,8,5000672,992,41.402,42.987,43.693,43.093,1.64
i64,b,std::merge,13,5,8,5000672,992,34.911,35.578,36.331,35.708,1.49
i64,a,extend_sorted,13,1,12,5000672,992,114.875,116.462,117.689,116.771,1.51
i64,a,extend_scan,13,1,12,5000672,992,102.417,104.273,105.237,104.453,1.62
i64,a,extend_bsearch,13,1,12,5000672,992,147.555,149.331,150.632,149.700,1.54
i64,a,sort_network,13,1,12,5000672,992,7.481,7.544,7.608,7.616,4.85
i64,a,std::sort,13,1,12,5000672,992,84.783,86.424,87.387,86.577,1.36
i64,b,extend_sorted,13,1,12,5000672,992,25.950,26.180,26.836,26.408,5.25
i64,b,merge_sorted,13,1,12,5000672,992,14.279,14.416,14.679,14.521,3.36
i64,b,merge_branchless,13,1,12,5000672,992,34.978,35.305,35.978,35.499,3.62
i64,b,sort_network,13,1,12,5000672,992,7.521,7.582,7.649,7.663,5.91
i64,b,std::inplace_merge,13,1,12,5000672,992,18.124,19.142,19.518,19.024,6.14
i64,b,std::merge,13,1,12,5000672,992,12.494,12.875,13.259,12.976,3.86
i64,a,extend_sorted,14,13,1,5003989,1069,13.435,13.617,13.780,13.706,2.87
i64,a,extend_scan,14,13,1,5003989,1069,10.105,10.227,10.295,10.290,2.92
i64,a,extend_bsearch,14,13,1,5003989,1069,14.730,14.948,15.095,15.019,2.09
i64,a,sort_network,14,13,1,5003989,1069,11.252,11.352,11.425,11.428,3.18
i64,a,std::sort,14,13,1,5003989,1069,21.613,22.060,22.794,22.183,2.26
i64,b,extend_sorted,14,13,1,5003989,1069,13.538,13.741,13.881,13.818,2.34
i64,b,merge_sorted,14,13,1,5003989,1069,10.714,10.853,10.960,10.935,2.99
i64,b,merge_branchless,14,13,1,5003989,1069,30.911,31.285,32.052,31.419,1.64
i64,b,sort_network,14,13,1,5003989,1069,11.173,11.282,11.350,11.359,3.23
i64,b,std::inplace_merge,14,13,1,5003989,1069,17.571,18.270,18.635,18.261,3.47
i64,b,std::merge,14,13,1,5003989,1069,13.062,13.282,13.498,13.416,9.46
i64,a,extend_sorted,14,12,2,5003989,1069,26.209,26.593,27.372,26.727,1.93
i64,a,extend_scan,14,12,2,5003989,1069,19.864,20.216,20.920,20.338,2.77
i64,a,extend_bsearch,14,12,2,5003989,1069,29.050,29.535,30.362,29.706,2.25
i64,a,sort_network,14,12,2,5003989,1069,11.167,11.297,11.415,11.376,3.17
i64,a,std::sort,14,12,2,5003989,1069,28.544,28.979,29.825,29.174,3.48
i64,b,extend_sorted,14,12,2,5003989,1069,23.017,23.363,24.118,23.482,1.91
i64,b,merge_sorted,14,12,2,5003989,1069,17.749,18.815,19.204,18.726,3.45
i64,b,merge_branchless,14,12,2,5003989,1069,36.602,37.008,37.872,37.149,1.72
i64,b,sort_network,14,12,2,5003989,1069,11.203,11.336,11.426,11.413,3.55
i64,b,std::inplace_merge,14,12,2,5003989,1069,25.685,26.198,26.953,26.410,3.02
i64,b,std::merge,14,12,2,5003989,1069,18.661,19.024,19.474,19.133,2.50
i64,a,extend_sorted,14,11,3,5003989,1069,38.708,39.336,40.189,39.497,1.80
i64,a,extend_scan,14,11,3,5003989,1069,30.746,31.293,32.120,31.477,2.25
i64,a,extend_bsearch,14,11,3,5003989,1069,44.801,45.455,46.411,45.659,1.94
i64,a,sort_network,14,11,3,5003989,1069,11.167,11.344,11.554,11.449,4.10
i64,a,std::sort,14,11,3,5003989,1069,36.032,37.046,37.796,37.221,3.04
i64,b,extend_sorted,14,11,3,5003989,1069,31.137,31.650,32.416,31.783,1.80
