type,n,f,p,algo,ns_per_suffix_elem,k_ratio
pair64f,4194304,0.10,0.10,two_phase,0.8355,0.973
pair64f,4194304,0.10,0.10,pivot_first,0.7911,0.973
pair64f,4194304,0.10,0.10,ninther_first,1.0574,1.000
pair64f,4194304,0.10,0.50,ref,6.4937,1.000
pair64f,4194304,0.10,0.50,exact,1.8437,1.000
pair64f,4194304,0.10,0.50,two_phase,1.1091,1.029
pair64f,4194304,0.10,0.50,pivot_first,0.9972,1.029
pair64f,4194304,0.10,0.50,ninther_first,1.0518,1.462
pair64f,4194304,0.10,0.90,ref,6.4301,1.000
pair64f,4194304,0.10,0.90,exact,2.4433,1.000
pair64f,4194304,0.10,0.90,two_phase,1.1643,0.917
pair64f,4194304,0.10,0.90,pivot_first,1.0636,0.917
pair64f,4194304,0.10,0.90,ninther_first,1.0777,1.229
pair64f,4194304,0.50,0.10,ref,8.2481,1.000
pair64f,4194304,0.50,0.10,exact,1.0349,1.000
pair64f,4194304,0.50,0.10,two_phase,0.8711,1.082
pair64f,4194304,0.50,0.10,pivot_first,0.8012,1.082
pair64f,4194304,0.50,0.10,ninther_first,1.0329,1.000
pair64f,4194304,0.50,0.50,ref,3.8931,1.000
pair64f,4194304,0.50,0.50,exact,2.4449,1.000
pair64f,4194304,0.50,0.50,two_phase,1.3562,1.121
pair64f,4194304,0.50,0.50,pivot_first,1.1119,1.121
pair64f,4194304,0.50,0.50,ninther_first,1.1608,1.294
pair64f,4194304,0.50,0.90,ref,10.8064,1.000
pair64f,4194304,0.50,0.90,exact,3.7333,1.000
pair64f,4194304,0.50,0.90,two_phase,1.6405,0.996
pair64f,4194304,0.50,0.90,pivot_first,1.3158,0.996
pair64f,4194304,0.50,0.90,ninther_first,1.3497,1.063
pair64f,4194304,0.90,0.10,ref,15.5069,1.000
pair64f,4194304,0.90,0.10,exact,1.0033,1.000
pair64f,4194304,0.90,0.10,two_phase,0.8872,1.269
pair64f,4194304,0.90,0.10,pivot_first,0.7793,1.269
pair64f,4194304,0.90,0.10,ninther_first,1.0308,1.000
pair64f,4194304,0.90,0.50,ref,55.0322,1.000
pair64f,4194304,0.90,0.50,exact,2.3644,1.000
pair64f,4194304,0.90,0.50,two_phase,1.1677,0.947
pair64f,4194304,0.90,0.50,pivot_first,1.0079,0.947
pair64f,4194304,0.90,0.50,ninther_first,2.3501,1.000
pair64f,4194304,0.90,0.90,ref,33.6164,1.000
pair64f,4194304,0.90,0.90,exact,3.3107,1.000
pair64f,4194304,0.90,0.90,two_phase,1.5500,0.985
pair64f,4194304,0.90,0.90,pivot_first,1.1875,0.985
pair64f,4194304,0.90,0.90,ninther_first,1.1113,0.778
i64,65536,0.10,0.10,ref,5.6503,1.000
i64,65536,0.10,0.10,exact,0.4647,1.000
i64,65536,0.10,0.10,two_phase,0.3701,1.036
i64,65536,0.10,0.10,pivot_first,0.3501,1.036
i64,65536,0.10,0.10,ninther_first,0.4681,1.000
i64,65536,0.10,0.50,ref,5.3468,1.000
i64,65536,0.10,0.50,exact,1.1180,1.000
i64,65536,0.10,0.50,two_phase,0.4695,0.954
i64,65536,0.10,0.50,pivot_first,0.4530,0.954
i64,65536,0.10,0.50,ninther_first,0.4128,0.750
i64,65536,0.10,0.90,ref,3.5761,1.000
i64,65536,0.10,0.90,exact,1.4383,1.000
i64,65536,0.10,0.90,two_phase,0.5115,0.997
i64,65536,0.10,0.90,pivot_first,0.5042,0.997
i64,65536,0.10,0.90,ninther_first,0.4796,0.929
i64,65536,0.50,0.10,ref,0.9018,1.000
i64,65536,0.50,0.10,exact,0.6214,1.000
i64,65536,0.50,0.10,two_phase,0.3781,0.911
i64,65536,0.50,0.10,pivot_first,0.3613,0.911
i64,65536,0.50,0.10,ninther_first,0.6229,1.000
i64,65536,0.50,0.50,ref,9.7574,1.000
i64,65536,0.50,0.50,exact,1.1197,1.000
i64,65536,0.50,0.50,two_phase,0.4962,0.919
i64,65536,0.50,0.50,pivot_first,0.4788,0.919
i64,65536,0.50,0.50,ninther_first,1.1264,1.000
i64,65536,0.50,0.90,ref,3.6857,1.000
i64,65536,0.50,0.90,exact,1.3120,1.000
i64,65536,0.50,0.90,two_phase,0.5680,0.962
i64,65536,0.50,0.90,pivot_first,0.5655,0.962
i64,65536,0.50,0.90,ninther_first,0.4797,0.843
i64,65536,0.90,0.10,ref,4.6294,0.998
i64,65536,0.90,0.10,exact,0.6576,0.998
i64,65536,0.90,0.10,two_phase,0.4821,1.145
i64,65536,0.90,0.10,pivot_first,0.4472,1.145
i64,65536,0.90,0.10,ninther_first,0.6561,0.998
i64,65536,0.90,0.50,ref,28.1486,1.000
i64,65536,0.90,0.50,exact,1.1077,1.000
i64,65536,0.90,0.50,two_phase,0.6378,0.988
i64,65536,0.90,0.50,pivot_first,0.6073,0.988
i64,65536,0.90,0.50,ninther_first,1.1123,1.000
i64,65536,0.90,0.90,ref,7.7635,1.000
i64,65536,0.90,0.90,exact,1.2740,1.000
i64,65536,0.90,0.90,two_phase,0.7049,0.967
i64,65536,0.90,0.90,pivot_first,0.7080,0.967
i64,65536,0.90,0.90,ninther_first,0.4821,0.660
i64,1048576,0.10,0.10,ref,5.1481,1.000
i64,1048576,0.10,0.10,exact,0.4870,1.000
i64,1048576,0.10,0.10,two_phase,0.3829,0.805
i64,1048576,0.10,0.10,pivot_first,0.3702,0.805
i64,1048576,0.10,0.10,ninther_first,0.4879,1.000
i64,1048576,0.10,0.50,ref,3.6587,1.000
i64,1048576,0.10,0.50,exact,1.0111,1.000
i64,1048576,0.10,0.50,two_phase,0.4737,0.980
i64,1048576,0.10,0.50,pivot_first,0.4571,0.980
i64,1048576,0.10,0.50,ninther_first,1.0129,1.000
i64,1048576,0.10,0.90,ref,4.5973,1.000
i64,1048576,0.10,0.90,exact,1.3525,1.000
i64,1048576,0.10,0.90,two_phase,0.5050,1.033
i64,1048576,0.10,0.90,pivot_first,0.5000,1.033
i64,1048576,0.10,0.90,ninther_first,0.5020,1.094
i64,1048576,0.50,0.10,ref,4.1968,1.000
i64,1048576,0.50,0.10,exact,0.6327,1.000
i64,1048576,0.50,0.10,two_phase,0.3838,1.096
i64,1048576,0.50,0.10,pivot_first,0.3702,1.096
i64,1048576,0.50,0.10,ninther_first,0.6326,1.000
i64,1048576,0.50,0.50,ref,7.7973,1.000
i64,1048576,0.50,0.50,exact,1.0941,1.000
i64,1048576,0.50,0.50,two_phase,0.4911,0.993
i64,1048576,0.50,0.50,pivot_first,0.4658,0.993
i64,1048576,0.50,0.50,ninther_first,1.0933,1.000
i64,1048576,0.50,0.90,ref,11.3081,1.000
i64,1048576,0.50,0.90,exact,1.4906,1.000
i64,1048576,0.50,0.90,two_phase,0.5424,0.979
i64,1048576,0.50,0.90,pivot_first,0.5498,0.979
i64,1048576,0.50,0.90,ninther_first,0.4781,1.172
i64,1048576,0.90,0.10,ref,24.8074,1.000
i64,1048576,0.90,0.10,exact,0.6334,1.000
i64,1048576,0.90,0.10,two_phase,0.3631,0.876
i64,1048576,0.90,0.10,pivot_first,0.3445,0.876
i64,1048576,0.90,0.10,ninther_first,0.6345,1.000
i64,1048576,0.90,0.50,ref,49.4209,1.000
i64,1048576,0.90,0.50,exact,0.9415,1.000
i64,1048576,0.90,0.50,two_phase,0.5016,1.083
i64,1048576,0.90,0.50,pivot_first,0.4766,1.083
i64,1048576,0.90,0.50,ninther_first,0.9471,1.000
i64,1048576,0.90,0.90,ref,41.6634,1.000
i64,1048576,0.90,0.90,exact,1.8355,1.000
i64,1048576,0.90,0.90,two_phase,0.5696,1.054
i64,1048576,0.90,0.90,pivot_first,0.5698,1.054
i64,1048576,0.90,0.90,ninther_first,0.4740,0.518
i64,4194304,0.10,0.10,ref,6.0588,1.000
i64,4194304,0.10,0.10,exact,0.6469,1.000
i64,4194304,0.10,0.10,two_phase,0.5249,0.973
i64,4194304,0.10,0.10,pivot_first,0.4715,0.973
i64,4194304,0.10,0.10,ninther_first,0.6441,1.000
i64,4194304,0.10,0.50,ref,5.8187,1.000
i64,4194304,0.10,0.50,exact,1.1743,1.000
i64,4194304,0.10,0.50,two_phase,0.6286,1.029
i64,4194304,0.10,0.50,pivot_first,0.5821,1.029
i64,4194304,0.10,0.50,ninther_first,0.5812,1.462
i64,4194304,0.10,0.90,ref,5.6847,1.000
i64,4194304,0.10,0.90,exact,1.5738,1.000
i64,4194304,0.10,0.90,two_phase,0.5586,0.917
i64,4194304,0.10,0.90,pivot_first,0.5714,0.917
i64,4194304,0.10,0.90,ninther_first,0.5731,1.229
i64,4194304,0.50,0.10,ref,7.5409,1.000
i64,4194304,0.50,0.10,exact,0.6699,1.000
i64,4194304,0.50,0.10,two_phase,0.5114,1.082
i64,4194304,0.50,0.10,pivot_first,0.4520,1.082
i64,4194304,0.50,0.10,ninther_first,0.6564,1.000
i64,4194304,0.50,0.50,ref,3.1309,1.000
i64,4194304,0.50,0.50,exact,1.1233,1.000
i64,4194304,0.50,0.50,two_phase,0.6150,1.121
i64,4194304,0.50,0.50,pivot_first,0.6282,1.121
i64,4194304,0.50,0.50,ninther_first,0.6637,1.294
i64,4194304,0.50,0.90,ref,9.6336,1.000
i64,4194304,0.50,0.90,exact,2.1832,1.000
i64,4194304,0.50,0.90,two_phase,0.6843,0.996
i64,4194304,0.50,0.90,pivot_first,0.7118,0.996
i64,4194304,0.50,0.90,ninther_first,0.7172,1.063
i64,4194304,0.90,0.10,ref,13.3344,1.000
i64,4194304,0.90,0.10,exact,0.6520,1.000
i64,4194304,0.90,0.10,two_phase,0.4814,1.269
i64,4194304,0.90,0.10,pivot_first,0.4475,1.269
i64,4194304,0.90,0.10,ninther_first,0.6461,1.000
i64,4194304,0.90,0.50,ref,51.8367,1.000
i64,4194304,0.90,0.50,exact,1.1764,1.000
i64,4194304,0.90,0.50,two_phase,0.5677,0.947
i64,4194304,0.90,0.50,pivot_first,0.5054,0.947
i64,4194304,0.90,0.50,ninther_first,1.1628,1.000
i64,4194304,0.90,0.90,ref,30.9767,1.000
i64,4194304,0.90,0.90,exact,1.8158,1.000
i64,4194304,0.90,0.90,two_phase,0.6623,0.985
i64,4194304,0.90,0.90,pivot_first,0.5876,0.985
i64,4194304,0.90,0.90,ninther_first,0.5354,0.778
pair64,65536,0.10,0.10,ref,7.7788,1.000
pair64,65536,0.10,0.10,exact,0.8860,1.000
pair64,65536,0.10,0.10,two_phase,0.7482,1.036
pair64,65536,0.10,0.10,pivot_first,0.7418,1.036
pair64,65536,0.10,0.10,ninther_first,0.8881,1.000
pair64,65536,0.10,0.50,ref,7.3135,1.000
pair64,65536,0.10,0.50,exact,1.9194,1.000
pair64,65536,0.10,0.50,two_phase,0.8413,0.954
