type,dist,p,n,algo,ns_per_elem,k_over_S,ns_per_k,ns_per_min
i64,random_uniform,0.50,1048576,sample,0.4595,0.518,1.7744,1.9059
i64,random_uniform,0.50,1048576,part_until,0.8343,0.572,2.9154,3.9018
i64,random_uniform,0.50,1048576,rev_part_until,0.7722,0.389,3.9677,3.9677
i64,random_uniform,0.50,4194304,ref,4.4327,0.500,17.7308,17.7308
i64,random_uniform,0.50,4194304,count_select,1.4780,0.500,5.9119,5.9119
i64,random_uniform,0.50,4194304,fwd_key_select,1.2679,0.500,5.0716,5.0716
i64,random_uniform,0.50,4194304,key_select,0.9946,0.500,3.9783,3.9783
i64,random_uniform,0.50,4194304,rev_count_select,1.5317,0.500,6.1267,6.1267
i64,random_uniform,0.50,4194304,key_one_part,0.9856,0.710,2.7745,6.8072
i64,random_uniform,0.50,4194304,fwd_sample,0.7082,0.486,2.9114,2.9114
i64,random_uniform,0.50,4194304,sample,0.5287,0.486,2.1736,2.1736
i64,random_uniform,0.50,4194304,part_until,1.0219,0.611,3.3428,5.2599
i64,random_uniform,0.50,4194304,rev_part_until,0.8617,0.785,2.1962,8.0045
i64,random_uniform,0.90,65536,ref,5.2320,0.500,11.6268,11.6268
i64,random_uniform,0.90,65536,count_select,1.1666,0.500,2.5924,2.5924
i64,random_uniform,0.90,65536,fwd_key_select,1.4602,0.500,3.2449,3.2449
i64,random_uniform,0.90,65536,key_select,1.5652,0.500,3.4782,3.4782
i64,random_uniform,0.90,65536,rev_count_select,1.2867,0.500,2.8593,2.8593
i64,random_uniform,0.90,65536,key_one_part,0.9288,0.486,2.1246,2.1246
i64,random_uniform,0.90,65536,fwd_sample,0.6127,0.507,1.3440,1.3795
i64,random_uniform,0.90,65536,sample,0.4982,0.507,1.0929,1.1218
i64,random_uniform,0.90,65536,part_until,0.5666,0.688,0.9144,2.0208
i64,random_uniform,0.90,65536,rev_part_until,0.4639,0.688,0.7486,1.6546
i64,random_uniform,0.90,262144,ref,5.2589,0.500,11.6866,11.6866
i64,random_uniform,0.90,262144,count_select,1.3819,0.500,3.0710,3.0710
i64,random_uniform,0.90,262144,fwd_key_select,1.7619,0.500,3.9154,3.9154
i64,random_uniform,0.90,262144,key_select,1.1536,0.500,2.5636,2.5636
i64,random_uniform,0.90,262144,rev_count_select,1.0291,0.500,2.2870,2.2870
i64,random_uniform,0.90,262144,key_one_part,0.8578,0.810,1.1764,5.0201
i64,random_uniform,0.90,262144,fwd_sample,0.7045,0.538,1.4537,1.6958
i64,random_uniform,0.90,262144,sample,0.4887,0.538,1.0085,1.1764
i64,random_uniform,0.90,262144,part_until,0.5493,0.430,1.4185,1.4185
i64,random_uniform,0.90,262144,rev_part_until,0.4768,0.430,1.2314,1.2314
i64,random_uniform,0.90,1048576,ref,5.4189,0.500,12.0421,12.0421
i64,random_uniform,0.90,1048576,count_select,1.3887,0.500,3.0860,3.0860
i64,random_uniform,0.90,1048576,fwd_key_select,1.7065,0.500,3.7922,3.7922
i64,random_uniform,0.90,1048576,key_select,1.6267,0.500,3.6150,3.6150
i64,random_uniform,0.90,1048576,rev_count_select,1.2375,0.500,2.7500,2.7500
i64,random_uniform,0.90,1048576,key_one_part,0.8812,0.774,1.2647,4.3365
i64,random_uniform,0.90,1048576,fwd_sample,0.5999,0.515,1.2949,1.3738
i64,random_uniform,0.90,1048576,sample,0.4880,0.515,1.0533,1.1175
i64,random_uniform,0.90,1048576,part_until,0.5765,0.671,0.9541,1.9493
i64,random_uniform,0.90,1048576,rev_part_until,0.4785,0.671,0.7920,1.6180
i64,random_uniform,0.90,4194304,ref,5.6437,0.500,12.5415,12.5415
i64,random_uniform,0.90,4194304,count_select,1.5953,0.500,3.5451,3.5451
i64,random_uniform,0.90,4194304,fwd_key_select,1.6238,0.500,3.6084,3.6084
i64,random_uniform,0.90,4194304,key_select,1.4720,0.500,3.2712,3.2712
i64,random_uniform,0.90,4194304,rev_count_select,1.3594,0.500,3.0209,3.0209
i64,random_uniform,0.90,4194304,key_one_part,1.0889,0.347,3.4880,3.4880
i64,random_uniform,0.90,4194304,fwd_sample,0.7942,0.481,1.8356,1.8356
i64,random_uniform,0.90,4194304,sample,0.5315,0.481,1.2285,1.2285
i64,random_uniform,0.90,4194304,part_until,0.7054,0.738,1.0620,2.9919
i64,random_uniform,0.90,4194304,rev_part_until,0.5305,0.738,0.7987,2.2500
i64,few_unique,0.10,65536,ref,4.1179,0.500,84.5994,84.5994
i64,few_unique,0.10,65536,count_select,1.2295,0.500,25.2583,25.2583
i64,few_unique,0.10,65536,fwd_key_select,0.7367,0.500,15.1354,15.1354
i64,few_unique,0.10,65536,key_select,0.6887,0.500,14.1480,14.1480
i64,few_unique,0.10,65536,rev_count_select,1.3822,0.500,28.3962,28.3962
i64,few_unique,0.10,65536,key_one_part,0.4332,0.626,7.1120,11.8890
i64,few_unique,0.10,65536,fwd_sample,0.3736,0.505,7.6055,7.7450
i64,few_unique,0.10,65536,sample,0.3725,0.505,7.5834,7.7226
i64,few_unique,0.10,65536,part_until,0.8782,0.355,25.4317,25.4317
