type,dist,p,n,algo,ns_per_elem,k_over_S,ns_per_k,ns_per_min
pair64,random_uniform,0.90,262144,fwd_sample,1.1902,0.538,2.4561,2.8651
pair64,random_uniform,0.90,262144,sample,0.8204,0.538,1.6930,1.9749
pair64,random_uniform,0.90,262144,part_until,0.9847,0.430,2.5428,2.5428
pair64,random_uniform,0.90,262144,rev_part_until,0.8087,0.430,2.0885,2.0885
pair64,random_uniform,0.90,1048576,ref,7.1145,0.500,15.8101,15.8101
pair64,random_uniform,0.90,1048576,count_select,2.7081,0.500,6.0179,6.0179
pair64,random_uniform,0.90,1048576,fwd_key_select,3.0092,0.500,6.6872,6.6872
pair64,random_uniform,0.90,1048576,key_select,2.8063,0.500,6.2362,6.2362
pair64,random_uniform,0.90,1048576,rev_count_select,2.3936,0.500,5.3191,5.3191
pair64,random_uniform,0.90,1048576,key_one_part,1.6081,0.774,2.3078,7.9131
pair64,random_uniform,0.90,1048576,fwd_sample,1.0488,0.515,2.2638,2.4017
pair64,random_uniform,0.90,1048576,sample,0.8348,0.515,1.8019,1.9117
pair64,random_uniform,0.90,1048576,part_until,1.0095,0.671,1.6706,3.4131
pair64,random_uniform,0.90,1048576,rev_part_until,0.8083,0.671,1.3376,2.7328
pair64,random_uniform,0.90,4194304,ref,7.6054,0.500,16.9008,16.9008
pair64,random_uniform,0.90,4194304,count_select,3.5746,0.500,7.9436,7.9436
pair64,random_uniform,0.90,4194304,fwd_key_select,3.5888,0.500,7.9752,7.9752
pair64,random_uniform,0.90,4194304,key_select,2.7848,0.500,6.1885,6.1885
pair64,random_uniform,0.90,4194304,rev_count_select,2.6676,0.500,5.9281,5.9281
pair64,random_uniform,0.90,4194304,key_one_part,2.3047,0.347,7.3824,7.3824
pair64,random_uniform,0.90,4194304,fwd_sample,1.6390,0.481,3.7883,3.7883
pair64,random_uniform,0.90,4194304,sample,0.9688,0.481,2.2392,2.2392
pair64,random_uniform,0.90,4194304,part_until,1.4522,0.738,2.1864,6.1593
pair64,random_uniform,0.90,4194304,rev_part_until,0.9727,0.738,1.4644,4.1255
pair64,few_unique,0.10,65536,ref,6.1364,0.500,126.0680,126.0680
pair64,few_unique,0.10,65536,count_select,2.4119,0.500,49.5508,49.5508
pair64,few_unique,0.10,65536,fwd_key_select,1.2366,0.500,25.4053,25.4053
pair64,few_unique,0.10,65536,key_select,1.1539,0.500,23.7066,23.7066
pair64,few_unique,0.10,65536,rev_count_select,2.6110,0.500,53.6417,53.6417
pair64,few_unique,0.10,65536,key_one_part,0.8150,0.626,13.3798,22.3668
pair64,few_unique,0.10,65536,fwd_sample,0.7386,0.505,15.0363,15.3122
pair64,few_unique,0.10,65536,sample,0.7169,0.505,14.5952,14.8630
pair64,few_unique,0.10,65536,part_until,1.5385,0.355,44.5532,44.5532
pair64,few_unique,0.10,65536,rev_part_until,1.7439,0.919,19.4926,221.0542
pair64,few_unique,0.10,262144,ref,10.9040,0.500,219.5571,219.5571
pair64,few_unique,0.10,262144,count_select,6.5260,0.500,131.4052,131.4052
pair64,few_unique,0.10,262144,fwd_key_select,3.4109,0.500,68.6811,68.6811
pair64,few_unique,0.10,262144,key_select,3.2294,0.500,65.0263,65.0263
pair64,few_unique,0.10,262144,rev_count_select,6.6417,0.500,133.7334,133.7334
pair64,few_unique,0.10,262144,key_one_part,2.9199,0.668,43.9999,88.5599
pair64,few_unique,0.10,262144,fwd_sample,2.8126,0.587,48.2149,68.6054
pair64,few_unique,0.10,262144,sample,2.7480,0.587,47.1070,67.0290
pair64,few_unique,0.10,262144,part_until,3.3868,0.919,37.1026,420.7716
pair64,few_unique,0.10,262144,rev_part_until,3.5291,0.762,46.6065,149.4813
pair64,few_unique,0.10,1048576,ref,8.5125,0.500,170.9791,170.9791
pair64,few_unique,0.10,1048576,count_select,7.0680,0.500,141.9651,141.9651
pair64,few_unique,0.10,1048576,fwd_key_select,2.3937,0.500,48.0798,48.0798
pair64,few_unique,0.10,1048576,key_select,2.2556,0.500,45.3051,45.3051
pair64,few_unique,0.10,1048576,rev_count_select,5.4926,0.500,110.3231,110.3231
pair64,few_unique,0.10,1048576,key_one_part,1.8734,0.334,56.2942,56.2942
pair64,few_unique,0.10,1048576,fwd_sample,1.7779,0.599,29.8221,44.4954
pair64,few_unique,0.10,1048576,sample,1.7519,0.599,29.3867,43.8457
pair64,few_unique,0.10,1048576,part_until,4.9804,0.385,129.9904,129.9904
pair64,few_unique,0.10,1048576,rev_part_until,3.5771,0.414,86.8226,86.8226
pair64,few_unique,0.10,4194304,ref,8.2897,0.500,166.2299,166.2299
pair64,few_unique,0.10,4194304,count_select,4.9365,0.500,98.9887,98.9887
pair64,few_unique,0.10,4194304,fwd_key_select,1.7841,0.500,35.7750,35.7750
pair64,few_unique,0.10,4194304,key_select,1.6200,0.500,32.4850,32.4850
pair64,few_unique,0.10,4194304,rev_count_select,5.9815,0.500,119.9438,119.9438
pair64,few_unique,0.10,4194304,key_one_part,1.3485,0.442,30.5969,30.5969
pair64,few_unique,0.10,4194304,fwd_sample,1.2391,0.515,24.1219,25.6188
pair64,few_unique,0.10,4194304,sample,1.1768,0.515,22.9077,24.3292
pair64,few_unique,0.10,4194304,part_until,3.4341,0.795,43.3303,167.6392
pair64,few_unique,0.10,4194304,rev_part_until,4.0167,0.339,118.6631,118.6631
pair64,few_unique,0.50,65536,ref,5.2355,0.500,21.0642,21.0642
pair64,few_unique,0.50,65536,count_select,2.8990,0.500,11.6636,11.6636
pair64,few_unique,0.50,65536,fwd_key_select,2.0626,0.500,8.2986,8.2986
pair64,few_unique,0.50,65536,key_select,1.9811,0.500,7.9708,7.9708
pair64,few_unique,0.50,65536,rev_count_select,2.6797,0.500,10.7813,10.7813
pair64,few_unique,0.50,65536,key_one_part,1.3337,0.579,4.6341,6.3715
pair64,few_unique,0.50,65536,fwd_sample,0.9177,0.494,3.7353,3.7353
pair64,few_unique,0.50,65536,sample,0.7930,0.494,3.2279,3.2279
pair64,few_unique,0.50,65536,part_until,1.3518,0.335,8.1181,8.1181
pair64,few_unique,0.50,65536,rev_part_until,1.2963,0.690,3.7813,8.4013
pair64,few_unique,0.50,262144,ref,14.4388,0.500,57.8390,57.8390
pair64,few_unique,0.50,262144,count_select,6.6232,0.500,26.5312,26.5312
pair64,few_unique,0.50,262144,fwd_key_select,4.1933,0.500,16.7977,16.7977
pair64,few_unique,0.50,262144,key_select,4.1055,0.500,16.4457,16.4457
pair64,few_unique,0.50,262144,rev_count_select,6.2243,0.500,24.9335,24.9335
pair64,few_unique,0.50,262144,key_one_part,3.3829,0.284,23.8661,23.8661
pair64,few_unique,0.50,262144,fwd_sample,2.9714,0.453,13.1492,13.1492
pair64,few_unique,0.50,262144,sample,2.8252,0.453,12.5019,12.5019
pair64,few_unique,0.50,262144,part_until,3.0689,0.774,7.9425,27.1831
pair64,few_unique,0.50,262144,rev_part_until,2.8742,0.774,7.4388,25.4591
pair64,few_unique,0.50,1048576,ref,12.0184,0.500,48.1433,48.1433
pair64,few_unique,0.50,1048576,count_select,7.0659,0.500,28.3048,28.3048
pair64,few_unique,0.50,1048576,fwd_key_select,5.4342,0.500,21.7685,21.7685
pair64,few_unique,0.50,1048576,key_select,5.3531,0.500,21.4435,21.4435
pair64,few_unique,0.50,1048576,rev_count_select,9.2149,0.500,36.9131,36.9131
pair64,few_unique,0.50,1048576,key_one_part,3.5153,0.701,10.0398,23.5708
pair64,few_unique,0.50,1048576,fwd_sample,1.9714,0.517,7.6404,8.1714
pair64,few_unique,0.50,1048576,sample,1.8458,0.517,7.1536,7.6508
pair64,few_unique,0.50,1048576,part_until,3.7139,0.820,9.0711,41.3335
pair64,few_unique,0.50,1048576,rev_part_until,3.4870,0.205,34.0165,34.0165
pair64,few_unique,0.50,4194304,ref,8.7355,0.500,34.9453,34.9453
pair64,few_unique,0.50,4194304,count_select,6.4626,0.500,25.8532,25.8532
pair64,few_unique,0.50,4194304,fwd_key_select,4.4100,0.500,17.6418,17.6418
pair64,few_unique,0.50,4194304,key_select,4.4849,0.500,17.9412,17.9412
pair64,few_unique,0.50,4194304,rev_count_select,6.3517,0.500,25.4094,25.4094
pair64,few_unique,0.50,4194304,key_one_part,2.6696,0.582,9.1816,12.7617
pair64,few_unique,0.50,4194304,fwd_sample,1.6186,0.486,6.6638,6.6638
pair64,few_unique,0.50,4194304,sample,1.2542,0.486,5.1637,5.1637
pair64,few_unique,0.50,4194304,part_until,3.1111,0.985,6.3156,423.6801
pair64,few_unique,0.50,4194304,rev_part_until,3.2890,0.520,12.6489,13.7084
pair64,few_unique,0.90,65536,ref,7.4324,0.500,16.5278,16.5278
pair64,few_unique,0.90,65536,count_select,3.3852,0.500,7.5277,7.5277
pair64,few_unique,0.90,65536,fwd_key_select,3.0421,0.500,6.7649,6.7649
pair64,few_unique,0.90,65536,key_select,2.7291,0.500,6.0689,6.0689
pair64,few_unique,0.90,65536,rev_count_select,2.8026,0.500,6.2322,6.2322
pair64,few_unique,0.90,65536,key_one_part,1.6643,0.578,3.2012,4.3859
pair64,few_unique,0.90,65536,fwd_sample,1.0585,0.506,2.3276,2.3809
pair64,few_unique,0.90,65536,sample,0.8399,0.506,1.8467,1.8891
pair64,few_unique,0.90,65536,part_until,0.9748,0.687,1.5783,3.4595
pair64,few_unique,0.90,65536,rev_part_until,0.7996,0.687,1.2946,2.8378
pair64,few_unique,0.90,262144,ref,12.5636,0.500,27.9300,27.9300
pair64,few_unique,0.90,262144,count_select,8.3002,0.500,18.4520,18.4520
pair64,few_unique,0.90,262144,fwd_key_select,6.9093,0.500,15.3600,15.3600
pair64,few_unique,0.90,262144,key_select,9.6913,0.500,21.5445,21.5445
pair64,few_unique,0.90,262144,rev_count_select,7.8855,0.500,17.5302,17.5302
pair64,few_unique,0.90,262144,key_one_part,5.6389,0.500,12.5429,12.5429
pair64,few_unique,0.90,262144,fwd_sample,3.1656,0.538,6.5405,7.6162
pair64,few_unique,0.90,262144,sample,2.8999,0.538,5.9914,6.9768
pair64,few_unique,0.90,262144,part_until,3.0729,0.429,7.9530,7.9530
pair64,few_unique,0.90,262144,rev_part_until,2.8749,0.429,7.4405,7.4405
pair64,few_unique,0.90,1048576,ref,12.8247,0.500,28.5016,28.5016
pair64,few_unique,0.90,1048576,count_select,6.2552,0.500,13.9017,13.9017
pair64,few_unique,0.90,1048576,fwd_key_select,8.0401,0.500,17.8685,17.8685
pair64,few_unique,0.90,1048576,key_select,6.9365,0.500,15.4157,15.4157
pair64,few_unique,0.90,1048576,rev_count_select,7.8908,0.500,17.5367,17.5367
pair64,few_unique,0.90,1048576,key_one_part,3.7227,0.697,5.9308,13.6747
pair64,few_unique,0.90,1048576,fwd_sample,2.1036,0.515,4.5418,4.8164
pair64,few_unique,0.90,1048576,sample,1.8918,0.515,4.0845,4.3314
pair64,few_unique,0.90,1048576,part_until,2.0441,0.670,3.3879,6.8925
pair64,few_unique,0.90,1048576,rev_part_until,1.8948,0.670,3.1405,6.3891
pair64,few_unique,0.90,4194304,ref,9.6878,0.500,21.5299,21.5299
pair64,few_unique,0.90,4194304,count_select,7.0701,0.500,15.7125,15.7125
pair64,few_unique,0.90,4194304,fwd_key_select,6.5147,0.500,14.4781,14.4781
pair64,few_unique,0.90,4194304,key_select,4.2352,0.500,9.4122,9.4122
pair64,few_unique,0.90,4194304,rev_count_select,6.0339,0.500,13.4095,13.4095
pair64,few_unique,0.90,4194304,key_one_part,2.9441,0.342,9.5780,9.5780
pair64,few_unique,0.90,4194304,fwd_sample,1.9400,0.480,4.4883,4.4883
pair64,few_unique,0.90,4194304,sample,1.2925,0.480,2.9903,2.9903
pair64,few_unique,0.90,4194304,part_until,1.7434,0.738,2.6249,7.3944
pair64,few_unique,0.90,4194304,rev_part_until,1.2851,0.738,1.9350,5.4508
pair64f,random_uniform,0.10,65536,ref,4.4956,0.500,89.9335,89.9335
pair64f,random_uniform,0.10,65536,count_select,1.4681,0.500,29.3694,29.3694
pair64f,random_uniform,0.10,65536,fwd_key_select,0.5236,0.500,10.4737,10.4737
pair64f,random_uniform,0.10,65536,key_select,0.4930,0.500,9.8629,9.8629
pair64f,random_uniform,0.10,65536,rev_count_select,1.5110,0.500,30.2271,30.2271
pair64f,random_uniform,0.10,65536,key_one_part,0.4697,0.529,8.8786,9.9747
pair64f,random_uniform,0.10,65536,fwd_sample,0.4137,0.527,7.8537,8.7427
pair64f,random_uniform,0.10,65536,sample,0.3827,0.527,7.2656,8.0880
pair64f,random_uniform,0.10,65536,part_until,1.1185,0.426,26.2641,26.2641
pair64f,random_uniform,0.10,65536,rev_part_until,1.2287,0.759,16.1888,50.9962
pair64f,random_uniform,0.10,262144,ref,4.6661,0.500,93.3299,93.3299
pair64f,random_uniform,0.10,262144,count_select,1.1169,0.500,22.3396,22.3396
pair64f,random_uniform,0.10,262144,fwd_key_select,0.5368,0.500,10.7368,10.7368
pair64f,random_uniform,0.10,262144,key_select,0.5227,0.500,10.4552,10.4552
pair64f,random_uniform,0.10,262144,rev_count_select,1.1807,0.500,23.6169,23.6169
pair64f,random_uniform,0.10,262144,key_one_part,0.4889,0.476,10.2615,10.2615
pair64f,random_uniform,0.10,262144,fwd_sample,0.4236,0.596,7.1107,10.4828
pair64f,random_uniform,0.10,262144,sample,0.3948,0.596,6.6273,9.7702
pair64f,random_uniform,0.10,262144,part_until,0.8648,0.912,9.4790,98.6896
pair64f,random_uniform,0.10,262144,rev_part_until,0.9260,0.964,9.6074,256.5962
pair64f,random_uniform,0.10,1048576,ref,5.4055,0.500,108.1126,108.1126
pair64f,random_uniform,0.10,1048576,count_select,1.4605,0.500,29.2106,29.2106
pair64f,random_uniform,0.10,1048576,fwd_key_select,0.6353,0.500,12.7061,12.7061
pair64f,random_uniform,0.10,1048576,key_select,0.5552,0.500,11.1047,11.1047
pair64f,random_uniform,0.10,1048576,rev_count_select,1.2203,0.500,24.4073,24.4073
pair64f,random_uniform,0.10,1048576,key_one_part,0.5336,0.829,6.4346,31.2485
pair64f,random_uniform,0.10,1048576,fwd_sample,0.4713,0.617,7.6437,12.2921
pair64f,random_uniform,0.10,1048576,sample,0.4377,0.617,7.0982,11.4148
pair64f,random_uniform,0.10,1048576,part_until,0.9947,0.418,23.8200,23.8200
pair64f,random_uniform,0.10,1048576,rev_part_until,0.9303,0.809,11.4976,48.7375
pair64f,random_uniform,0.10,4194304,ref,6.0818,0.500,121.6366,121.6366
pair64f,random_uniform,0.10,4194304,count_select,2.4665,0.500,49.3309,49.3309
pair64f,random_uniform,0.10,4194304,fwd_key_select,1.0781,0.500,21.5615,21.5615
pair64f,random_uniform,0.10,4194304,key_select,1.0029,0.500,20.0575,20.0575
pair64f,random_uniform,0.10,4194304,rev_count_select,2.4258,0.500,48.5161,48.5161
pair64f,random_uniform,0.10,4194304,key_one_part,1.0080,0.663,15.2061,29.9051
pair64f,random_uniform,0.10,4194304,fwd_sample,0.8455,0.518,16.3279,17.5368
pair64f,random_uniform,0.10,4194304,sample,0.7767,0.518,14.9982,16.1086
pair64f,random_uniform,0.10,4194304,part_until,1.8772,0.611,30.7294,48.2459
pair64f,random_uniform,0.10,4194304,rev_part_until,2.0186,0.638,31.6615,55.6930
pair64f,random_uniform,0.50,65536,ref,4.0051,0.500,16.0206,16.0206
pair64f,random_uniform,0.50,65536,count_select,1.4745,0.500,5.8981,5.8981
pair64f,random_uniform,0.50,65536,fwd_key_select,1.1580,0.500,4.6321,4.6321
pair64f,random_uniform,0.50,65536,key_select,1.1060,0.500,4.4240,4.4240
pair64f,random_uniform,0.50,65536,rev_count_select,1.4313,0.500,5.7253,5.7253
pair64f,random_uniform,0.50,65536,key_one_part,0.8698,0.441,3.9408,3.9408
pair64f,random_uniform,0.50,65536,fwd_sample,0.6029,0.494,2.4432,2.4432
pair64f,random_uniform,0.50,65536,sample,0.4830,0.494,1.9571,1.9571
pair64f,random_uniform,0.50,65536,part_until,0.9958,0.783,2.5421,9.1984
pair64f,random_uniform,0.50,65536,rev_part_until,0.7817,0.977,1.6011,66.6216
pair64f,random_uniform,0.50,262144,ref,4.4126,0.500,17.6507,17.6507
pair64f,random_uniform,0.50,262144,count_select,1.1036,0.500,4.4143,4.4143
pair64f,random_uniform,0.50,262144,fwd_key_select,1.3003,0.500,5.2014,5.2014
pair64f,random_uniform,0.50,262144,key_select,1.0247,0.500,4.0990,4.0990
pair64f,random_uniform,0.50,262144,rev_count_select,1.0715,0.500,4.2861,4.2861
pair64f,random_uniform,0.50,262144,key_one_part,0.8259,0.280,5.8922,5.8922
pair64f,random_uniform,0.50,262144,fwd_sample,0.5796,0.455,2.5497,2.5497
pair64f,random_uniform,0.50,262144,sample,0.4698,0.455,2.0665,2.0665
pair64f,random_uniform,0.50,262144,part_until,0.6826,0.774,1.7629,6.0535
pair64f,random_uniform,0.50,262144,rev_part_until,0.5097,0.774,1.3162,4.5197
pair64f,random_uniform,0.50,1048576,ref,5.7392,0.500,22.9569,22.9569
pair64f,random_uniform,0.50,1048576,count_select,1.4842,0.500,5.9367,5.9367
pair64f,random_uniform,0.50,1048576,fwd_key_select,1.1850,0.500,4.7399,4.7399
pair64f,random_uniform,0.50,1048576,key_select,1.1001,0.500,4.4006,4.4006
pair64f,random_uniform,0.50,1048576,rev_count_select,1.5485,0.500,6.1942,6.1942
pair64f,random_uniform,0.50,1048576,key_one_part,0.9146,0.480,3.8097,3.8097
pair64f,random_uniform,0.50,1048576,fwd_sample,0.6199,0.518,2.3941,2.5715
pair64f,random_uniform,0.50,1048576,sample,0.4997,0.518,1.9297,2.0727
pair64f,random_uniform,0.50,1048576,part_until,0.9883,0.572,3.4535,4.6219
pair64f,random_uniform,0.50,1048576,rev_part_until,0.8409,0.389,4.3203,4.3203
pair64f,random_uniform,0.50,4194304,ref,5.0542,0.500,20.2170,20.2170
pair64f,random_uniform,0.50,4194304,count_select,2.6783,0.500,10.7131,10.7131
pair64f,random_uniform,0.50,4194304,fwd_key_select,2.1350,0.500,8.5401,8.5401
pair64f,random_uniform,0.50,4194304,key_select,1.6093,0.500,6.4371,6.4371
pair64f,random_uniform,0.50,4194304,rev_count_select,2.4699,0.500,9.8796,9.8796
pair64f,random_uniform,0.50,4194304,key_one_part,1.8918,0.710,5.3258,13.0668
pair64f,random_uniform,0.50,4194304,fwd_sample,1.3425,0.486,5.5193,5.5193
pair64f,random_uniform,0.50,4194304,sample,0.9300,0.486,3.8232,3.8232
pair64f,random_uniform,0.50,4194304,part_until,2.0189,0.611,6.6039,10.3911
pair64f,random_uniform,0.50,4194304,rev_part_until,1.5254,0.785,3.8879,14.1699
pair64f,random_uniform,0.90,65536,ref,5.5410,0.500,12.3134,12.3134
pair64f,random_uniform,0.90,65536,count_select,1.4167,0.500,3.1482,3.1482
pair64f,random_uniform,0.90,65536,fwd_key_select,1.6369,0.500,3.6376,3.6376
pair64f,random_uniform,0.90,65536,key_select,1.6492,0.500,3.6650,3.6650
pair64f,random_uniform,0.90,65536,rev_count_select,1.4425,0.500,3.2055,3.2055
pair64f,random_uniform,0.90,65536,key_one_part,1.0708,0.486,2.4491,2.4491
pair64f,random_uniform,0.90,65536,fwd_sample,0.7363,0.507,1.6151,1.6578
pair64f,random_uniform,0.90,65536,sample,0.5219,0.507,1.1448,1.1750
pair64f,random_uniform,0.90,65536,part_until,0.6714,0.688,1.0836,2.3947
pair64f,random_uniform,0.90,65536,rev_part_until,0.4910,0.688,0.7925,1.7514
pair64f,random_uniform,0.90,262144,ref,5.5883,0.500,12.4185,12.4185
pair64f,random_uniform,0.90,262144,count_select,1.6596,0.500,3.6881,3.6881
pair64f,random_uniform,0.90,262144,fwd_key_select,1.9771,0.500,4.3935,4.3935
pair64f,random_uniform,0.90,262144,key_select,1.2156,0.500,2.7014,2.7014
pair64f,random_uniform,0.90,262144,rev_count_select,1.1619,0.500,2.5819,2.5819
pair64f,random_uniform,0.90,262144,key_one_part,0.9512,0.810,1.3046,5.5668
pair64f,random_uniform,0.90,262144,fwd_sample,0.8308,0.538,1.7145,2.0000
pair64f,random_uniform,0.90,262144,sample,0.5234,0.538,1.0800,1.2598
pair64f,random_uniform,0.90,262144,part_until,0.6887,0.430,1.7785,1.7785
pair64f,random_uniform,0.90,262144,rev_part_until,0.5089,0.430,1.3142,1.3142
pair64f,random_uniform,0.90,1048576,ref,5.7029,0.500,12.6731,12.6731
pair64f,random_uniform,0.90,1048576,count_select,1.6843,0.500,3.7428,3.7428
pair64f,random_uniform,0.90,1048576,fwd_key_select,1.9321,0.500,4.2936,4.2936
pair64f,random_uniform,0.90,1048576,key_select,1.7287,0.500,3.8416,3.8416
pair64f,random_uniform,0.90,1048576,rev_count_select,1.4143,0.500,3.1429,3.1429
pair64f,random_uniform,0.90,1048576,key_one_part,1.0096,0.774,1.4489,4.9681
pair64f,random_uniform,0.90,1048576,fwd_sample,0.7530,0.515,1.6253,1.7243
pair64f,random_uniform,0.90,1048576,sample,0.5297,0.515,1.1433,1.2130
pair64f,random_uniform,0.90,1048576,part_until,0.7097,0.671,1.1745,2.3996
pair64f,random_uniform,0.90,1048576,rev_part_until,0.5195,0.671,0.8597,1.7565
pair64f,random_uniform,0.90,4194304,ref,6.5960,0.500,14.6578,14.6578
pair64f,random_uniform,0.90,4194304,count_select,3.0826,0.500,6.8503,6.8503
pair64f,random_uniform,0.90,4194304,fwd_key_select,3.1459,0.500,6.9908,6.9908
pair64f,random_uniform,0.90,4194304,key_select,2.3088,0.500,5.1307,5.1307
pair64f,random_uniform,0.90,4194304,rev_count_select,2.1446,0.500,4.7657,4.7657
pair64f,random_uniform,0.90,4194304,key_one_part,2.0544,0.347,6.5807,6.5807
pair64f,random_uniform,0.90,4194304,fwd_sample,1.6218,0.481,3.7485,3.7485
pair64f,random_uniform,0.90,4194304,sample,0.9580,0.481,2.2141,2.2141
pair64f,random_uniform,0.90,4194304,part_until,1.3948,0.738,2.0999,5.9156
pair64f,random_uniform,0.90,4194304,rev_part_until,0.9392,0.738,1.4140,3.9834
pair64f,few_unique,0.10,65536,ref,4.3357,0.500,89.0727,89.0727
pair64f,few_unique,0.10,65536,count_select,1.3289,0.500,27.3019,27.3019
pair64f,few_unique,0.10,65536,fwd_key_select,0.7216,0.500,14.8251,14.8251
pair64f,few_unique,0.10,65536,key_select,0.5986,0.500,12.2984,12.2984
pair64f,few_unique,0.10,65536,rev_count_select,1.4402,0.500,29.5875,29.5875
pair64f,few_unique,0.10,65536,key_one_part,0.4646,0.626,7.6280,12.7517
pair64f,few_unique,0.10,65536,fwd_sample,0.4099,0.505,8.3445,8.4976
pair64f,few_unique,0.10,65536,sample,0.3917,0.505,7.9748,8.1212
pair64f,few_unique,0.10,65536,part_until,0.9319,0.355,26.9872,26.9872
pair64f,few_unique,0.10,65536,rev_part_until,1.0837,0.919,12.1138,137.3752
pair64f,few_unique,0.10,262144,ref,3.0617,0.500,61.6494,61.6494
pair64f,few_unique,0.10,262144,count_select,1.2226,0.500,24.6181,24.6181
pair64f,few_unique,0.10,262144,fwd_key_select,0.7318,0.500,14.7360,14.7360
pair64f,few_unique,0.10,262144,key_select,0.5801,0.500,11.6803,11.6803
pair64f,few_unique,0.10,262144,rev_count_select,1.2690,0.500,25.5514,25.5514
pair64f,few_unique,0.10,262144,key_one_part,0.4859,0.668,7.3227,14.7385
pair64f,few_unique,0.10,262144,fwd_sample,0.4244,0.587,7.2760,10.3530
pair64f,few_unique,0.10,262144,sample,0.3948,0.587,6.7679,9.6300
pair64f,few_unique,0.10,262144,part_until,0.8091,0.919,8.8633,100.5161
pair64f,few_unique,0.10,262144,rev_part_until,0.8954,0.762,11.8246,37.9252
pair64f,few_unique,0.10,1048576,ref,4.2543,0.500,85.4509,85.4509
pair64f,few_unique,0.10,1048576,count_select,1.7873,0.500,35.8992,35.8992
pair64f,few_unique,0.10,1048576,fwd_key_select,0.8456,0.500,16.9855,16.9855
pair64f,few_unique,0.10,1048576,key_select,0.6789,0.500,13.6362,13.6362
pair64f,few_unique,0.10,1048576,rev_count_select,1.2385,0.500,24.8757,24.8757
pair64f,few_unique,0.10,1048576,key_one_part,0.5145,0.334,15.4611,15.4611
pair64f,few_unique,0.10,1048576,fwd_sample,0.4670,0.599,7.8337,11.6881
pair64f,few_unique,0.10,1048576,sample,0.4401,0.599,7.3826,11.0151
pair64f,few_unique,0.10,1048576,part_until,1.2555,0.385,32.7695,32.7695
pair64f,few_unique,0.10,1048576,rev_part_until,0.8566,0.414,20.7906,20.7906
pair64f,few_unique,0.10,4194304,ref,5.5909,0.500,112.1125,112.1125
pair64f,few_unique,0.10,4194304,count_select,2.8542,0.500,57.2349,57.2349
pair64f,few_unique,0.10,4194304,fwd_key_select,1.2946,0.500,25.9609,25.9609
pair64f,few_unique,0.10,4194304,key_select,1.0972,0.500,22.0010,22.0010
pair64f,few_unique,0.10,4194304,rev_count_select,2.6793,0.500,53.7267,53.7267
pair64f,few_unique,0.10,4194304,key_one_part,1.0006,0.442,22.7043,22.7043
pair64f,few_unique,0.10,4194304,fwd_sample,0.8453,0.515,16.4548,17.4759
pair64f,few_unique,0.10,4194304,sample,0.7790,0.515,15.1655,16.1065
pair64f,few_unique,0.10,4194304,part_until,1.9988,0.795,25.2199,97.5725
pair64f,few_unique,0.10,4194304,rev_part_until,2.0300,0.339,59.9722,59.9722
pair64f,few_unique,0.50,65536,ref,3.6313,0.500,14.6098,14.6098
pair64f,few_unique,0.50,65536,count_select,1.6909,0.500,6.8030,6.8030
pair64f,few_unique,0.50,65536,fwd_key_select,1.3326,0.500,5.3615,5.3615
pair64f,few_unique,0.50,65536,key_select,1.1556,0.500,4.6493,4.6493
pair64f,few_unique,0.50,65536,rev_count_select,1.4640,0.500,5.8901,5.8901
pair64f,few_unique,0.50,65536,key_one_part,0.8918,0.579,3.0986,4.2603
pair64f,few_unique,0.50,65536,fwd_sample,0.5910,0.494,2.4056,2.4056
pair64f,few_unique,0.50,65536,sample,0.4790,0.494,1.9496,1.9496
pair64f,few_unique,0.50,65536,part_until,0.8638,0.335,5.1876,5.1876
pair64f,few_unique,0.50,65536,rev_part_until,0.8150,0.690,2.3774,5.2821
pair64f,few_unique,0.50,262144,ref,5.6961,0.500,22.8177,22.8177
pair64f,few_unique,0.50,262144,count_select,1.3405,0.500,5.3696,5.3696
pair64f,few_unique,0.50,262144,fwd_key_select,1.3165,0.500,5.2738,5.2738
pair64f,few_unique,0.50,262144,key_select,1.1971,0.500,4.7955,4.7955
pair64f,few_unique,0.50,262144,rev_count_select,1.0539,0.500,4.2218,4.2218
pair64f,few_unique,0.50,262144,key_one_part,0.8280,0.284,5.8412,5.8412
pair64f,few_unique,0.50,262144,fwd_sample,0.5807,0.453,2.5697,2.5697
pair64f,few_unique,0.50,262144,sample,0.4700,0.453,2.0796,2.0796
pair64f,few_unique,0.50,262144,part_until,0.6841,0.774,1.7706,6.0597
pair64f,few_unique,0.50,262144,rev_part_until,0.5076,0.774,1.3137,4.4962
pair64f,few_unique,0.50,1048576,ref,5.7759,0.500,23.1372,23.1372
pair64f,few_unique,0.50,1048576,count_select,1.7015,0.500,6.8157,6.8157
pair64f,few_unique,0.50,1048576,fwd_key_select,1.4320,0.500,5.7364,5.7364
pair64f,few_unique,0.50,1048576,key_select,1.2532,0.500,5.0201,5.0201
pair64f,few_unique,0.50,1048576,rev_count_select,1.8245,0.500,7.3086,7.3086
pair64f,few_unique,0.50,1048576,key_one_part,0.9539,0.701,2.7242,6.3958
pair64f,few_unique,0.50,1048576,fwd_sample,0.6245,0.517,2.4204,2.5886
pair64f,few_unique,0.50,1048576,sample,0.5008,0.517,1.9411,2.0760
pair64f,few_unique,0.50,1048576,part_until,1.0252,0.820,2.5040,11.4098
